time,open,high,low,close,volume
2020-11-06 16:45:00,48.17,48.17,48.17,48.17,2678
2020-11-06 16:15:00,48.27,48.27,48.23,48.23,227093
2020-11-06 16:00:00,48.13,48.48,48.13,48.27,485056
2020-11-06 15:45:00,48.095,48.145,48.055,48.14,131215
2020-11-06 15:30:00,47.975,48.1,47.945,48.1,81395
2020-11-06 15:15:00,48.005,48.005,47.92,47.97,70449
2020-11-06 15:00:00,47.96,48.025,47.95,48.015,73995
2020-11-06 14:45:00,47.995,48.0,47.94,47.955,71320
2020-11-06 14:30:00,47.89,48.0,47.87,48.0,65815
2020-11-06 14:15:00,47.83,47.97,47.795,47.895,74388
2020-11-06 14:00:00,47.865,47.91,47.8,47.835,46801
2020-11-06 13:45:00,47.815,47.93,47.81,47.87,51627
2020-11-06 13:30:00,47.92,47.92,47.7501,47.82,40433
2020-11-06 13:15:00,47.93,47.9598,47.815,47.925,57256
2020-11-06 13:00:00,47.92,47.97,47.905,47.9399,55019
2020-11-06 12:45:00,47.84,47.93,47.81,47.92,54460
2020-11-06 12:30:00,47.875,47.92,47.831,47.84,46345
2020-11-06 12:15:00,48.04,48.04,47.88,47.88,96459
2020-11-06 12:00:00,48.15,48.175,48.02,48.02,160470
2020-11-06 11:45:00,48.17,48.2,48.11,48.14,118406
2020-11-06 11:30:00,48.41,48.46,48.11,48.16,112876
2020-11-06 11:15:00,48.25,48.55,48.25,48.4,62164
2020-11-06 11:00:00,48.565,48.66,48.18,48.25,66680
2020-11-06 10:45:00,48.55,48.5899,48.44,48.5699,55827
2020-11-06 10:30:00,48.69,48.69,48.5,48.565,44540
2020-11-06 10:15:00,48.46,48.73,48.46,48.67,107003
2020-11-06 10:00:00,48.54,48.595,48.39,48.45,83386
2020-11-06 09:45:00,48.2,48.55,48.07,48.54,121434
2020-11-06 05:00:00,47.6,47.6,47.6,47.6,100
2020-11-05 16:30:00,47.91,47.91,47.91,47.91,3340
2020-11-05 16:15:00,47.91,47.91,47.91,47.91,122740
2020-11-05 16:00:00,47.95,48.04,47.86,47.91,346878
2020-11-05 15:45:00,48.11,48.12,47.905,47.96,147266
2020-11-05 15:30:00,48.025,48.125,48.0,48.11,101753
2020-11-05 15:15:00,48.02,48.06,47.985,48.025,116657
2020-11-05 15:00:00,48.06,48.06,47.89,48.03,70701
