time,open,high,low,close,volume
2019-05-07 18:30:00,375.25,375.25,375.25,375.25,100
2019-05-07 17:15:00,374.74,374.74,374.74,374.74,3244
2019-05-07 16:15:00,374.74,374.74,374.74,374.74,20248
2019-05-07 16:00:00,373.96,375.31,373.83,374.71,155756
2019-05-07 15:45:00,373.76,373.88,372.41,373.88,38522
2019-05-07 15:30:00,373.63,374.06,373.25,373.78,27492
2019-05-07 15:15:00,373.43,373.93,372.45,373.64,22267
2019-05-07 15:00:00,372.06,373.67,371.965,373.22,18157
2019-05-07 14:45:00,372.96,372.96,371.73,372.13,21623
2019-05-07 14:30:00,373.085,373.7361,372.68,372.86,27332
2019-05-07 14:15:00,372.45,373.99,372.26,373.035,30079
2019-05-07 14:00:00,372.05,372.76,371.98,372.47,14055
2019-05-07 13:45:00,372.04,372.36,371.53,371.87,13894
2019-05-07 13:30:00,372.93,373.19,371.9802,372.29,21862
2019-05-07 13:15:00,373.86,374.015,372.66,372.905,21072
2019-05-07 13:00:00,374.6,374.6,373.8,374.01,24416
2019-05-07 12:45:00,374.9,374.9,374.37,374.61,11613
2019-05-07 12:30:00,373.735,374.78,373.735,374.71,51403
2019-05-07 12:15:00,373.3575,374.035,372.865,373.74,20901
2019-05-07 12:00:00,373.48,374.04,372.8985,373.22,18241
2019-05-07 11:45:00,374.18,374.43,373.42,373.42,18652
2019-05-07 11:30:00,374.43,374.43,373.47,373.9759,19281
2019-05-07 11:15:00,373.57,374.26,373.17,374.255,14032
2019-05-07 11:00:00,373.43,373.85,373.06,373.785,27054
2019-05-07 10:45:00,374.44,375.13,373.445,373.47,30022
2019-05-07 10:30:00,373.755,374.4058,373.54,374.4,16320
2019-05-07 10:15:00,372.72,373.74,372.57,373.68,28461
2019-05-07 10:00:00,372.31,372.92,370.74,372.58,42933
2019-05-07 09:45:00,372.31,372.705,368.2,372.15,33292
2019-05-07 09:30:00,372.39,372.39,372.39,372.39,100
2019-05-06 17:15:00,376.28,376.28,376.28,376.28,2618
2019-05-06 16:15:00,376.28,376.75,376.28,376.75,9958
2019-05-06 16:00:00,375.13,376.59,375.08,376.47,134250
2019-05-06 15:45:00,374.97,375.16,374.84,375.13,37691
2019-05-06 15:30:00,374.63,375.195,374.56,374.97,21473
2019-05-06 15:15:00,374.39,375.14,374.27,374.56,22272
2019-05-06 15:00:00,374.975,375.49,374.38,374.395,33820
2019-05-06 14:45:00,374.51,375.02,374.435,374.98,22808
2019-05-06 14:30:00,374.46,374.94,374.44,374.63,16916
2019-05-06 14:15:00,374.5,374.645,374.22,374.38,18954
2019-05-06 14:00:00,374.26,374.53,374.09,374.5,18030
2019-05-06 13:45:00,374.315,374.5,373.83,374.355,17492
2019-05-06 13:30:00,375.095,375.095,373.69,374.22,72342
2019-05-06 13:15:00,374.95,375.33,374.63,375.12,17277
2019-05-06 13:00:00,375.6,375.98,374.95,374.9999,21764
2019-05-06 12:45:00,375.345,375.85,375.29,375.6,9631
