time,open,high,low,close,volume
2020-08-28 19:00:00,217.3,217.3,217.3,217.3,200
2020-08-28 18:30:00,217.55,217.55,217.55,217.55,101
2020-08-28 18:15:00,217.13,217.35,217.13,217.35,1192
2020-08-28 17:30:00,216.5,216.5,216.5,216.5,204
2020-08-28 17:15:00,217.06,217.06,217.06,217.06,300
2020-08-28 17:00:00,217.06,217.06,217.06,217.06,108
2020-08-28 16:45:00,217.0,217.03,217.0,217.03,979
2020-08-28 16:30:00,217.0,217.13,217.0,217.13,3119
2020-08-28 16:15:00,217.13,217.2,217.0,217.2,6681
2020-08-28 16:00:00,217.15,217.54,216.94,217.14,232150
2020-08-28 15:45:00,217.05,217.61,217.02,217.165,90596
2020-08-28 15:30:00,216.7801,217.13,216.59,217.05,52629
2020-08-28 15:15:00,216.5,216.84,216.44,216.79,39865
2020-08-28 15:00:00,216.175,216.53,215.99,216.475,103089
2020-08-28 14:45:00,215.88,216.32,215.865,216.22,48406
2020-08-28 14:30:00,216.01,216.1019,215.73,215.85,47304
2020-08-28 14:15:00,216.2,216.49,215.62,216.02,86678
2020-08-28 14:00:00,216.5729,216.61,216.03,216.1,45048
2020-08-28 13:45:00,217.07,217.2,216.41,216.52,38105
2020-08-28 13:30:00,217.2,217.35,217.03,217.125,26153
2020-08-28 13:15:00,217.8,217.85,217.15,217.15,35259
2020-08-28 13:00:00,217.37,217.94,217.37,217.81,44110
2020-08-28 12:45:00,216.73,217.66,216.72,217.35,87298
2020-08-28 12:30:00,216.67,216.83,216.5297,216.71,40850
2020-08-28 12:15:00,216.6192,216.845,216.46,216.7,41239
2020-08-28 12:00:00,216.7858,216.8275,216.33,216.63,47798
2020-08-28 11:45:00,217.72,217.85,216.65,216.78,78553
2020-08-28 11:30:00,217.57,217.92,217.33,217.76,43725
2020-08-28 11:15:00,218.0,218.335,217.35,217.57,81797
2020-08-28 11:00:00,217.945,218.2799,217.141,217.97,117862
2020-08-28 10:45:00,218.8,218.8,217.9,217.91,134477
2020-08-28 10:30:00,218.57,218.9,218.34,218.78,50680
2020-08-28 10:15:00,219.61,219.63,218.54,218.54,50431
2020-08-28 10:00:00,219.675,219.84,218.87,219.545,35633
2020-08-28 09:45:00,219.99,220.7,218.84,219.675,70295
2020-08-28 09:30:00,220.38,220.38,220.38,220.38,240
2020-08-27 16:30:00,220.69,220.69,220.69,220.69,2270
2020-08-27 16:15:00,220.69,221.562,220.69,221.562,6252
2020-08-27 16:00:00,221.595,221.78,220.62,220.64,130429
2020-08-27 15:45:00,221.64,221.81,221.35,221.53,63794
2020-08-27 15:30:00,221.05,221.67,221.02,221.67,37531
2020-08-27 15:15:00,220.51,221.04,220.51,221.04,28112
2020-08-27 15:00:00,220.54,220.73,220.23,220.555,41657
2020-08-27 14:45:00,220.97,221.0552,220.33,220.48,52810
2020-08-27 14:30:00,221.02,221.04,220.66,220.9371,31084
2020-08-27 14:15:00,221.2,221.23,220.84,221.0,22741
2020-08-27 14:00:00,220.72,221.205,220.5,221.205,28900
2020-08-27 13:45:00,220.77,220.81,220.48,220.76,23731
2020-08-27 13:30:00,220.585,220.82,220.38,220.75,28779
2020-08-27 13:15:00,220.78,221.08,220.57,220.585,30431
2020-08-27 13:00:00,220.64,220.785,219.88,220.77,45998
2020-08-27 12:45:00,221.5939,221.84,220.45,220.5301,96668
2020-08-27 12:30:00,221.44,221.8562,221.4154,221.64,43698
2020-08-27 12:15:00,222.005,222.22,221.43,221.44,29450
2020-08-27 12:00:00,221.95,222.26,221.75,222.02,27970
2020-08-27 11:45:00,221.88,222.06,221.4546,221.915,37309
2020-08-27 11:30:00,221.78,221.92,221.111,221.83,37303
2020-08-27 11:15:00,222.63,222.86,221.78,221.78,33344
2020-08-27 11:00:00,222.63,222.83,222.29,222.65,23472
2020-08-27 10:45:00,223.095,223.15,222.47,222.7329,25138
2020-08-27 10:30:00,221.485,223.0,221.34,223.0,41605
2020-08-27 10:15:00,222.36,222.42,221.13,221.485,52222
2020-08-27 10:00:00,223.2012,223.3199,221.89,222.31,51900
2020-08-27 09:45:00,220.18,223.4,219.4,223.31,110357
2020-08-27 09:30:00,220.0,220.0,220.0,220.0,369
2020-08-26 17:45:00,220.0,220.0,220.0,220.0,100
2020-08-26 16:45:00,220.29,220.29,220.29,220.29,6370
2020-08-26 16:15:00,220.29,220.29,220.29,220.29,17610
2020-08-26 16:00:00,219.89,220.69,219.89,220.24,173554
2020-08-26 15:45:00,220.33,220.49,219.22,219.9,129917
2020-08-26 15:30:00,220.09,220.3585,219.98,220.31,85344
2020-08-26 15:15:00,220.025,220.38,219.79,220.0401,62644
2020-08-26 15:00:00,220.25,220.71,219.61,220.045,174004
2020-08-26 14:45:00,220.5501,220.56,220.19,220.255,51752
2020-08-26 14:30:00,220.01,220.59,219.86,220.58,61385
2020-08-26 14:15:00,220.01,220.04,219.8164,220.0,48152
2020-08-26 14:00:00,220.21,220.24,219.92,220.015,92162
2020-08-26 13:45:00,220.43,220.64,220.14,220.17,69585
2020-08-26 13:30:00,219.83,220.49,219.71,220.43,118062
2020-08-26 13:15:00,219.93,220.07,219.77,219.85,62009
2020-08-26 13:00:00,219.49,220.2593,219.14,219.94,162547
2020-08-26 12:45:00,220.37,220.5,219.51,219.53,123354
2020-08-26 12:30:00,220.29,220.78,220.13,220.395,50657
2020-08-26 12:15:00,219.5,220.35,219.385,220.345,56606
2020-08-26 12:00:00,219.5,219.82,219.43,219.49,45127
2020-08-26 11:45:00,219.49,219.77,219.11,219.49,35861
2020-08-26 11:30:00,218.49,219.64,218.49,219.39,57435
2020-08-26 11:15:00,218.465,218.63,218.14,218.47,105811
2020-08-26 11:00:00,218.23,218.78,218.2,218.46,88234
2020-08-26 10:45:00,218.96,218.96,218.11,218.18,91147
2020-08-26 10:30:00,218.88,219.74,218.66,218.99,77753
2020-08-26 10:15:00,218.3649,219.03,217.8199,218.83,95404
2020-08-26 10:00:00,218.49,218.985,217.7592,218.79,173937
2020-08-26 09:45:00,218.86,219.41,218.08,218.48,146883
2020-08-26 09:30:00,218.48,218.48,218.48,218.48,972
2020-08-26 08:45:00,219.0,219.0,219.0,219.0,1417
2020-08-26 07:45:00,219.19,219.19,219.19,219.19,260
2020-08-26 07:15:00,220.0,220.0,219.5,219.5,560
2020-08-25 18:30:00,219.64,219.64,219.64,219.64,195
2020-08-25 18:15:00,219.1,219.1,219.1,219.1,152
2020-08-25 18:00:00,219.2,219.2,219.2,219.2,784
2020-08-25 17:45:00,219.2,219.2,219.2,219.2,210
2020-08-25 16:45:00,219.17,219.17,219.17,219.17,2008
2020-08-25 16:30:00,219.1,219.1,219.1,219.1,112
2020-08-25 16:15:00,219.17,219.17,219.0,219.0,12729
2020-08-25 16:00:00,219.53,219.535,218.73,219.17,291987
2020-08-25 15:45:00,219.47,219.675,219.28,219.52,85877
2020-08-25 15:30:00,219.87,219.945,219.42,219.49,64315
2020-08-25 15:15:00,219.905,219.92,219.6,219.86,57946
2020-08-25 15:00:00,219.73,219.96,219.67,219.95,86683
2020-08-25 14:45:00,219.75,219.8,219.69,219.7101,42834
2020-08-25 14:30:00,220.06,220.11,219.6522,219.6522,61949
2020-08-25 14:15:00,219.875,220.705,219.7905,220.075,198652
2020-08-25 14:00:00,219.42,219.97,219.3554,219.885,52434
2020-08-25 13:45:00,219.6092,219.6092,219.29,219.4412,27264
2020-08-25 13:30:00,219.9,219.97,219.44,219.565,45081
2020-08-25 13:15:00,219.9908,220.04,219.8006,219.9125,51382
2020-08-25 13:00:00,220.005,220.08,219.9411,220.0,26307
2020-08-25 12:45:00,220.07,220.14,219.95,220.02,180365
2020-08-25 12:30:00,219.87,220.27,219.855,220.03,33600
2020-08-25 12:15:00,220.46,220.58,219.835,219.8866,78611
2020-08-25 12:00:00,221.0324,221.09,220.2938,220.47,95633
2020-08-25 11:45:00,220.34,221.22,220.34,221.12,59589
2020-08-25 11:30:00,220.14,220.6372,219.9,220.18,36645
2020-08-25 11:15:00,220.81,220.91,219.6,220.05,60141
2020-08-25 11:00:00,220.82,221.21,220.5961,220.79,55549
2020-08-25 10:45:00,220.54,221.16,220.49,220.86,67268
2020-08-25 10:30:00,220.46900000000002,220.69,219.6,220.54,99529
2020-08-25 10:15:00,220.745,220.86,220.11,220.46,64483
2020-08-25 10:00:00,222.0,222.05,220.27,220.7,124377
2020-08-25 09:45:00,222.98,223.23,221.85,222.021,204899
2020-08-25 09:15:00,223.15,223.15,223.15,223.15,101
2020-08-25 08:30:00,223.0,223.0,223.0,223.0,100
2020-08-24 20:00:00,223.07,223.15,223.07,223.15,525
2020-08-24 19:45:00,222.7,222.7,222.7,222.7,110
2020-08-24 17:15:00,223.0,223.0,223.0,223.0,300
2020-08-24 16:15:00,223.13,223.13,223.13,223.13,33448
2020-08-24 16:00:00,223.0,223.16,222.57,223.13,181004
2020-08-24 15:45:00,222.51,223.0,222.44,222.95,87495
2020-08-24 15:30:00,222.21,222.595,221.96,222.53,89341
2020-08-24 15:15:00,222.785,222.785,222.2,222.23,48566
2020-08-24 15:00:00,223.24,223.24,222.69,222.77,65735
2020-08-24 14:45:00,223.425,223.577,223.27,223.285,28011
2020-08-24 14:30:00,223.77,223.88,223.41,223.465,30462
2020-08-24 14:15:00,223.23,223.79,223.15,223.75,17417
2020-08-24 14:00:00,223.66,223.745,223.11,223.21,53020
2020-08-24 13:45:00,223.3,223.78,223.2593,223.635,29317
2020-08-24 13:30:00,223.54,223.7029,223.28,223.32,38836
2020-08-24 13:15:00,224.01,224.04,223.365,223.56,35223
2020-08-24 13:00:00,224.42,224.6594,223.87,223.91,80916
2020-08-24 12:45:00,223.67,224.44,223.55,224.4,28697
2020-08-24 12:30:00,223.5,223.845,223.48,223.655,21229
