time,open,high,low,close,volume
2019-02-15 18:15:00,605.95,605.95,605.95,605.95,100
2019-02-15 17:45:00,605.95,605.95,605.95,605.95,200
2019-02-15 17:15:00,605.95,605.95,605.95,605.95,100
2019-02-15 16:30:00,605.9,605.9,605.9,605.9,668
2019-02-15 16:15:00,606.04,606.04,605.8,605.89,61432
2019-02-15 16:00:00,605.57,606.91,605.57,606.03,63818
2019-02-15 15:45:00,605.651,605.99,605.3742,605.425,35864
2019-02-15 15:30:00,605.33,605.85,605.33,605.81,12412
2019-02-15 15:15:00,605.24,605.55,604.73,605.36,11736
2019-02-15 15:00:00,605.505,605.6682,605.14,605.38,7342
2019-02-15 14:45:00,604.8,605.6,604.8,605.34,9385
2019-02-15 14:30:00,604.7549,605.18,604.61,604.68,7123
2019-02-15 14:15:00,604.73,605.09,604.36,604.72,6673
2019-02-15 14:00:00,604.97,604.97,604.45,604.74,3530
2019-02-15 13:45:00,604.785,605.06,604.3,605.0363,4518
2019-02-15 13:30:00,604.895,604.94,604.3708,604.7,7881
2019-02-15 13:15:00,605.06,605.21,604.6301,604.6301,5182
2019-02-15 13:00:00,604.77,605.49,604.59,604.72,7665
2019-02-15 12:45:00,603.735,604.7,603.315,604.54,7163
2019-02-15 12:30:00,602.93,604.03,602.73,603.73,6431
2019-02-15 12:15:00,602.53,602.74,601.181,602.5,14321
2019-02-15 12:00:00,602.79,603.5595,601.6,602.76,22824
2019-02-15 11:45:00,603.79,603.95,602.6195,602.7,11308
2019-02-15 11:30:00,603.535,603.9,602.86,603.85,15176
2019-02-15 11:15:00,604.79,605.06,603.2,603.92,15582
2019-02-15 11:00:00,604.835,605.15,604.45,604.87,6810
2019-02-15 10:45:00,604.41,605.6,604.0,604.5141,15898
2019-02-15 10:30:00,606.04,606.24,604.5101,604.88,14318
2019-02-15 10:15:00,607.07,607.61,605.6201,606.26,28628
2019-02-15 10:00:00,608.63,609.0,605.781,607.619,25240
2019-02-15 09:45:00,606.51,609.29,606.19,608.28,34513
2019-02-15 09:00:00,605.0,605.0,605.0,605.0,201
