time,open,high,low,close,volume
2020-03-13 16:45:00,72.86,72.86,72.86,72.86,237
2020-03-13 16:30:00,73.84,73.84,73.84,73.84,9134
2020-03-13 16:15:00,73.84,73.84,73.84,73.84,16770
2020-03-13 16:00:00,70.98,73.94,70.935,73.84,734254
2020-03-13 15:45:00,70.42,70.98,69.04,70.91,327837
2020-03-13 15:30:00,70.26,70.6,70.06,70.315,145373
2020-03-13 15:15:00,70.27,70.78,69.9086,70.27,149165
2020-03-13 15:00:00,70.42,70.5,69.89,70.28,99785
2020-03-13 14:45:00,70.0,70.59,69.69,70.49,110248
2020-03-13 14:30:00,70.2,70.54,69.82,70.015,119484
2020-03-13 14:15:00,71.21,71.21,69.98,70.2,123787
2020-03-13 14:00:00,70.87,71.5,70.87,71.22,59313
2020-03-13 13:45:00,71.13,71.4,70.59,70.79,70440
2020-03-13 13:30:00,69.98,71.23,69.8,71.14,70576
2020-03-13 13:15:00,69.96,70.18,69.45,69.9,78921
2020-03-13 13:00:00,70.045,70.5015,69.91,69.9835,62801
2020-03-13 12:45:00,68.83,70.0,68.775,69.98,70496
2020-03-13 12:30:00,69.19,69.47,68.75,68.82,64724
2020-03-13 12:15:00,69.315,69.48,68.7,69.2,75053
2020-03-13 12:00:00,68.79,69.63,68.49,69.31,92130
2020-03-13 11:45:00,69.04,69.38,68.59,68.61,99954
2020-03-13 11:30:00,70.28,70.28,68.9338,69.03,73516
2020-03-13 11:15:00,69.93,70.55,69.71,70.32,107929
2020-03-13 11:00:00,70.91,70.92,69.895,69.91,87303
2020-03-13 10:45:00,71.02,71.29,70.68,70.9,103047
2020-03-13 10:30:00,70.51,71.51,70.495,70.985,112477
2020-03-13 10:15:00,70.81,71.14,70.445,70.54,69198
2020-03-13 10:00:00,71.28,71.73,70.19,70.77,99817
2020-03-13 09:45:00,72.21,73.62,70.58,71.17,210672
2020-03-13 09:15:00,72.27,72.27,72.27,72.27,149
2020-03-13 08:30:00,72.25,72.25,72.25,72.25,430
2020-03-12 16:30:00,68.14,68.85,68.13,68.2,1377
2020-03-12 16:15:00,68.85,68.85,68.85,68.85,419925
2020-03-12 16:00:00,70.11,71.28,68.84,68.86,491097
2020-03-12 15:45:00,69.64,70.71,69.64,70.09,256888
2020-03-12 15:30:00,70.41,70.445,69.5,69.61,146551
2020-03-12 15:15:00,70.14,71.12,70.03,70.47,105689
2020-03-12 15:00:00,70.52,71.34,70.12,70.12,127331
2020-03-12 14:45:00,70.92,71.15,70.12,70.46,86441
2020-03-12 14:30:00,70.65,71.03,70.31,70.985,73242
2020-03-12 14:15:00,71.45,71.68,70.61,70.74,79734
2020-03-12 14:00:00,70.91,71.68,70.72,71.4331,71848
2020-03-12 13:45:00,71.81,72.0744,70.23,70.89,79938
2020-03-12 13:30:00,72.41,72.43,71.55,71.892,68272
2020-03-12 13:15:00,71.84,73.91,71.44,72.405,130573
