time,open,high,low,close,volume
2019-08-16 17:30:00,57.82,57.82,57.82,57.82,41444
2019-08-16 17:00:00,57.76,57.76,57.71,57.71,200
2019-08-16 16:15:00,57.82,58.36,57.82,58.36,134209
2019-08-16 16:00:00,57.96,58.0,57.78,57.84,814622
2019-08-16 15:45:00,57.905,58.03,57.74,57.97,405666
2019-08-16 15:30:00,58.02,58.15,57.9,57.905,341751
2019-08-16 15:15:00,57.905,58.07,57.865,58.02,338605
2019-08-16 15:00:00,57.82,57.92,57.7,57.9,184354
2019-08-16 14:45:00,57.795,57.935,57.795,57.82,188067
2019-08-16 14:30:00,57.78,57.81,57.735,57.795,368939
2019-08-16 14:15:00,57.67,57.805,57.62,57.78,86776
2019-08-16 14:00:00,57.76,57.77,57.55,57.68,364164
2019-08-16 13:45:00,57.85,57.85,57.73,57.75,108821
2019-08-16 13:30:00,57.95,58.04,57.84,57.84,114347
2019-08-16 13:15:00,57.855,58.0,57.79,57.94,160331
2019-08-16 13:00:00,57.8,57.92,57.67,57.86,589771
2019-08-16 12:45:00,57.76,57.87,57.67,57.8,129019
2019-08-16 12:30:00,57.88,57.951,57.755,57.76,104736
2019-08-16 12:15:00,57.79,57.96,57.73,57.88,187868
2019-08-16 12:00:00,57.98,58.04,57.775,57.8,272553
2019-08-16 11:45:00,58.33,58.34,57.92,57.98,780396
2019-08-16 11:30:00,58.26,58.36,58.16,58.32,276821
2019-08-16 11:15:00,58.065,58.34,58.015,58.26,187307
2019-08-16 11:00:00,57.8,58.09,57.8,58.065,197803
2019-08-16 10:45:00,57.66,57.84,57.55,57.8,197223
2019-08-16 10:30:00,58.0,58.03,57.62,57.6538,190329
2019-08-16 10:15:00,57.97,58.03,57.85,58.0,94780
2019-08-16 10:00:00,58.03,58.08,57.91,57.96,309165
2019-08-16 09:45:00,58.0,58.15,57.51,58.01,286185
2019-08-16 09:30:00,57.76,58.0,57.76,58.0,608
2019-08-16 09:00:00,57.76,57.76,57.76,57.76,1500
2019-08-16 08:45:00,58.0,58.0,58.0,58.0,3000
2019-08-16 08:30:00,57.85,57.9,57.85,57.9,6466
2019-08-16 07:45:00,58.0,58.3,58.0,58.3,2719
2019-08-15 18:15:00,58.36,58.36,58.36,58.36,10895
2019-08-15 16:30:00,58.36,58.36,58.36,58.36,340000
2019-08-15 16:15:00,58.36,58.36,58.36,58.36,16050
2019-08-15 16:00:00,58.45,58.6,58.27,58.35,554568
2019-08-15 15:45:00,58.41,58.55,58.39,58.46,191029
2019-08-15 15:30:00,58.39,58.5,58.33,58.415,114149
2019-08-15 15:15:00,58.24,58.42,58.24,58.39,113238
2019-08-15 15:00:00,58.27,58.3,58.15,58.24,148050
2019-08-15 14:45:00,58.28,58.33,58.0699,58.27,135612
2019-08-15 14:30:00,58.22,58.358999999999995,58.165,58.27,75518
2019-08-15 14:15:00,57.91,58.25,57.89,58.21,154644
2019-08-15 14:00:00,58.23,58.27,57.85,57.9,333587
2019-08-15 13:45:00,58.45,58.6,58.21,58.23,140959
2019-08-15 13:30:00,58.45,58.53,58.425,58.44,475966
2019-08-15 13:15:00,58.47,58.54,58.42,58.45,61366
2019-08-15 13:00:00,58.46,58.5,58.435,58.47,92059
2019-08-15 12:45:00,58.4,58.62,58.4,58.46,72366
2019-08-15 12:30:00,58.4,58.47,58.36,58.39,103151
2019-08-15 12:15:00,58.595,58.73,58.37,58.39,342981
2019-08-15 12:00:00,58.575,58.63,58.5,58.595,489614
2019-08-15 11:45:00,58.59,58.69,58.56,58.575,612188
2019-08-15 11:30:00,58.59,58.65,58.41,58.6,136719
2019-08-15 11:15:00,58.78,58.825,58.57,58.585,124533
2019-08-15 11:00:00,58.77,58.83,58.56,58.79,288620
2019-08-15 10:45:00,58.33,58.79,58.26,58.75,269021
2019-08-15 10:30:00,58.14,58.54,58.11,58.34,247491
2019-08-15 10:15:00,58.23,58.41,57.96,58.16,214817
2019-08-15 10:00:00,58.21,58.42,58.01,58.23,120236
2019-08-15 09:45:00,58.28,58.685,57.95,58.19,127389
2019-08-15 06:30:00,58.0,58.0,58.0,58.0,200
2019-08-14 16:15:00,58.17,58.2,58.17,58.17,41258
2019-08-14 16:00:00,58.18,58.455,58.16,58.17,479263
2019-08-14 15:45:00,58.49,58.49,58.1875,58.19,329710
2019-08-14 15:30:00,58.29,58.63,58.22,58.495,197772
2019-08-14 15:15:00,58.2842,58.445,58.23,58.3,835215
2019-08-14 15:00:00,58.33,58.38,58.26,58.27,67259
2019-08-14 14:45:00,58.46,58.48,58.24,58.32,69917
2019-08-14 14:30:00,58.31,58.5032,58.31,58.47,82481
2019-08-14 14:15:00,58.47,58.48,58.26,58.28,139745
2019-08-14 14:00:00,58.47,58.63,58.4,58.49,84892
2019-08-14 13:45:00,58.4,58.59,58.33,58.46,71989
2019-08-14 13:30:00,58.19,58.53,58.18,58.38,84110
2019-08-14 13:15:00,58.215,58.215,58.08,58.1867,253967
2019-08-14 13:00:00,58.23,58.3,58.1,58.2,68008
2019-08-14 12:45:00,58.27,58.38,58.22,58.23,60525
2019-08-14 12:30:00,58.28,58.3,58.22,58.27,66063
2019-08-14 12:15:00,58.29,58.41,58.22,58.28,71603
2019-08-14 12:00:00,58.23,58.31,58.15,58.3,59850
2019-08-14 11:45:00,58.11,58.42,58.1,58.25,109913
2019-08-14 11:30:00,58.15,58.18,58.0,58.11,170025
2019-08-14 11:15:00,58.5,58.57,58.14,58.14,547929
2019-08-14 11:00:00,58.57,58.73,58.49,58.49,352612
2019-08-14 10:45:00,58.635,58.66,58.38,58.57,160461
2019-08-14 10:30:00,58.46,58.77,58.21,58.61,194625
2019-08-14 10:15:00,58.81,58.83,58.46,58.46,574531
2019-08-14 10:00:00,59.03,59.1675,58.8,58.825,245498
2019-08-14 09:45:00,58.8,59.26,58.6,59.04,230614
2019-08-14 08:00:00,58.8,58.8,58.8,58.8,100
2019-08-14 07:45:00,58.81,58.81,58.8,58.8,550
2019-08-14 06:15:00,59.1,59.1,59.1,59.1,300
2019-08-13 16:30:00,59.39,59.39,59.39,59.39,105
2019-08-13 16:15:00,59.39,59.39,59.39,59.39,261669
2019-08-13 16:00:00,59.5,59.535,59.35,59.4,441241
2019-08-13 15:45:00,59.48,59.59,59.46,59.5,157890
2019-08-13 15:30:00,59.53,59.575,59.415,59.48,207547
2019-08-13 15:15:00,59.595,59.61,59.53,59.545,77478
2019-08-13 15:00:00,59.565,59.61,59.535,59.6,73294
2019-08-13 14:45:00,59.59,59.61,59.49,59.56,113251
2019-08-13 14:30:00,59.585,59.63,59.49,59.59,143905
2019-08-13 14:15:00,59.65,59.66,59.575,59.585,58965
2019-08-13 14:00:00,59.63,59.67,59.57,59.65,54252
2019-08-13 13:45:00,59.69,59.77,59.5933,59.62,196551
2019-08-13 13:30:00,59.7,59.73,59.53,59.69,54715
2019-08-13 13:15:00,59.74,59.795,59.67,59.7,48665
2019-08-13 13:00:00,59.695,59.73,59.62,59.71,84554
2019-08-13 12:45:00,59.64,59.73,59.53,59.695,69182
2019-08-13 12:30:00,59.49,59.775,59.48,59.64,87322
2019-08-13 12:15:00,59.5,59.51,59.455,59.495,74135
2019-08-13 12:00:00,59.51,59.54,59.33,59.485,88785
2019-08-13 11:45:00,59.44,59.59,59.42,59.505,130245
2019-08-13 11:30:00,59.71,59.71,59.37,59.45,107115
2019-08-13 11:15:00,59.41,59.76,59.37,59.76,132135
2019-08-13 11:00:00,59.53,59.77,59.28,59.43,155254
2019-08-13 10:45:00,59.475,59.755,59.475,59.54,409967
2019-08-13 10:30:00,59.31,59.61,59.27,59.48,151407
2019-08-13 10:15:00,59.08,59.6,59.06,59.32,866468
2019-08-13 10:00:00,59.31,60.0,58.92,59.13,399477
2019-08-13 09:45:00,58.8,59.67,58.7,59.18,146578
2019-08-13 09:30:00,59.03,59.03,59.0,59.0,846
2019-08-13 08:45:00,59.67,59.67,59.67,59.67,100
2019-08-12 20:15:00,59.02,59.02,59.02,59.02,3693
2019-08-12 16:15:00,59.02,59.02,59.02,59.02,9138
2019-08-12 16:00:00,59.04,59.14,58.905,59.0,223307
2019-08-12 15:45:00,59.0,59.13,58.91,59.05,56524
2019-08-12 15:30:00,59.055,59.13,58.96,59.0,30939
2019-08-12 15:15:00,59.07,59.28,59.0,59.055,250415
2019-08-12 15:00:00,58.94,59.06,58.77,59.06,439852
2019-08-12 14:45:00,59.1,59.105,58.95,58.95,435713
2019-08-12 14:30:00,59.26,59.26,59.06,59.1,41133
2019-08-12 14:15:00,59.15,59.27,59.1,59.27,41604
2019-08-12 14:00:00,59.165,59.21,58.98,59.175,179740
2019-08-12 13:45:00,59.18,59.36,59.14,59.15,78007
2019-08-12 13:30:00,59.2,59.27,59.08,59.17,44733
2019-08-12 13:15:00,59.315,59.39,59.09,59.16,83269
2019-08-12 13:00:00,59.31,59.37,59.27,59.31,69909
2019-08-12 12:45:00,59.33,59.46,59.28,59.31,92626
2019-08-12 12:30:00,59.3276,59.38,59.28,59.33,102436
2019-08-12 12:15:00,59.17,59.35,58.97,59.31,164879
2019-08-12 12:00:00,59.2,59.3876,59.16,59.17,139702
2019-08-12 11:45:00,59.28,59.29,59.04,59.2,467804
2019-08-12 11:30:00,59.34,59.48,59.25,59.29,614112
2019-08-12 11:15:00,59.67,59.67,59.34,59.34,394436
2019-08-12 11:00:00,59.825,59.86,59.63,59.67,145495
2019-08-12 10:45:00,59.805,59.9,59.74,59.825,177673
2019-08-12 10:30:00,59.54,59.93,59.46,59.82,86668
2019-08-12 10:15:00,59.46,59.53,59.34,59.53,69136
2019-08-12 10:00:00,59.3,59.56,59.26,59.5,52148
2019-08-12 09:45:00,59.47,59.69,59.21,59.28,80909
2019-08-12 06:45:00,59.4,59.4,59.4,59.4,300
2019-08-09 16:15:00,59.69,59.69,59.69,59.69,34498
2019-08-09 16:00:00,59.885,59.89,59.62,59.685,335022
2019-08-09 15:45:00,59.945,60.01,59.88,59.89,128040
2019-08-09 15:30:00,59.97,60.02,59.91,59.93,71451
2019-08-09 15:15:00,59.86,60.08,59.83,59.97,89850
2019-08-09 15:00:00,59.895,59.895,59.8,59.85,59760
2019-08-09 14:45:00,59.94,59.965,59.835,59.89,66440
2019-08-09 14:30:00,59.93,59.98,59.83,59.94,59982
2019-08-09 14:15:00,59.935,60.005,59.91,59.93,46338
2019-08-09 14:00:00,59.98,60.03,59.92,59.92,48540
2019-08-09 13:45:00,59.95,60.06,59.93,59.98,64987
2019-08-09 13:30:00,59.89,59.99,59.88,59.94,45036
2019-08-09 13:15:00,59.7629,59.925,59.755,59.89,62782
2019-08-09 13:00:00,59.675,60.02,59.65,59.77,58818
2019-08-09 12:45:00,59.58,59.685,59.51,59.67,270276
2019-08-09 12:30:00,59.66,59.66,59.46,59.5802,57850
2019-08-09 12:15:00,59.45,59.69,59.43,59.66,65036
2019-08-09 12:00:00,59.6,59.63,59.415,59.45,47617
2019-08-09 11:45:00,59.4185,59.67,59.4185,59.61,62617
2019-08-09 11:30:00,59.6,59.68,59.41,59.42,68190
2019-08-09 11:15:00,59.66,59.68,59.54,59.605,56093
2019-08-09 11:00:00,59.51,59.81,59.45,59.67,61153
2019-08-09 10:45:00,59.54,59.56,59.42,59.49,70504
2019-08-09 10:30:00,59.74,59.75,59.55,59.55,57388
2019-08-09 10:15:00,59.54,59.76,59.52,59.725,44462
2019-08-09 10:00:00,59.64,59.74,59.44,59.54,30212
2019-08-09 09:45:00,59.8,60.14,59.62,59.63,66672
2019-08-08 16:30:00,59.78,59.79,59.78,59.78,3799
2019-08-08 16:15:00,59.79,59.79,59.79,59.79,24130
2019-08-08 16:00:00,59.785,59.82,59.64,59.8,392409
2019-08-08 15:45:00,59.73,59.855,59.72,59.795,191406
2019-08-08 15:30:00,59.67,59.795,59.6,59.73,120286
2019-08-08 15:15:00,59.69,59.77,59.65,59.67,89588
2019-08-08 15:00:00,59.57,59.75,59.54,59.68,84029
2019-08-08 14:45:00,59.635,59.65,59.515,59.58,59039
2019-08-08 14:30:00,59.58,59.69,59.49,59.64,65269
2019-08-08 14:15:00,59.68,59.68,59.51,59.59,85816
2019-08-08 14:00:00,59.725,59.82,59.685,59.685,269374
2019-08-08 13:45:00,59.71,59.745,59.65,59.71,64533
2019-08-08 13:30:00,59.82,59.84,59.66,59.71,72626
2019-08-08 13:15:00,59.92,59.97,59.81,59.81,61248
2019-08-08 13:00:00,59.79,59.92,59.79,59.9,59307
2019-08-08 12:45:00,59.855,59.86,59.75,59.785,68049
2019-08-08 12:30:00,59.79,60.06,59.78,59.86,120698
2019-08-08 12:15:00,59.66,59.82,59.655,59.79,85759
2019-08-08 12:00:00,59.86,59.92,59.625,59.66,69927
2019-08-08 11:45:00,59.73,59.91,59.68,59.87,69700
2019-08-08 11:30:00,59.78,59.94,59.66,59.74,87696
2019-08-08 11:15:00,60.12,60.15,59.67,59.7673,156015
2019-08-08 11:00:00,60.21,60.26,60.09,60.125,88507
2019-08-08 10:45:00,60.08,60.26,60.05,60.23,41414
2019-08-08 10:30:00,59.9025,60.2,59.85,60.05,108305
2019-08-08 10:15:00,59.96,60.1,59.75,59.9,71690
2019-08-08 10:00:00,59.925,60.11,59.65,59.96,64912
2019-08-08 09:45:00,60.0,60.3,59.77,59.97,51297
2019-08-08 09:30:00,60.0,60.0,60.0,60.0,500
2019-08-07 16:15:00,59.75,59.75,59.75,59.75,57733
2019-08-07 16:00:00,59.69,59.79,59.54,59.74,923560
2019-08-07 15:45:00,59.65,59.75,59.61,59.69,391245
2019-08-07 15:30:00,59.44,59.67,59.34,59.65,220408
2019-08-07 15:15:00,59.59,59.61,59.38,59.435,207536
2019-08-07 15:00:00,59.48,59.63,59.45,59.6,160447
2019-08-07 14:45:00,59.39,59.5,59.32,59.49,94276
2019-08-07 14:30:00,59.3,59.4,59.1,59.4,93952
2019-08-07 14:15:00,59.36,59.47,59.3,59.315,85555
2019-08-07 14:00:00,59.42,59.42,59.33,59.34,57614
2019-08-07 13:45:00,59.26,59.5,59.22,59.42,69332
2019-08-07 13:30:00,59.15,59.28,59.15,59.27,208701
2019-08-07 13:15:00,59.25,59.29,59.14,59.14,94296
