time,open,high,low,close,volume
2020-11-06 16:15:00,70.12,70.12,70.12,70.12,66159
2020-11-06 16:00:00,70.38,70.63,70.09,70.09,266052
2020-11-06 15:45:00,70.3,70.45,70.28,70.38,79436
2020-11-06 15:30:00,70.175,70.33,70.08,70.31,58934
2020-11-06 15:15:00,70.1,70.2,69.97,70.17,70760
2020-11-06 15:00:00,70.12,70.155,70.07,70.11,59501
2020-11-06 14:45:00,70.2,70.22,70.005,70.1,86869
2020-11-06 14:30:00,70.09,70.19,70.085,70.18,41636
2020-11-06 14:15:00,69.97,70.1,69.93,70.1,56321
2020-11-06 14:00:00,69.96,70.06,69.935,69.955,71296
2020-11-06 13:45:00,69.94,70.0,69.88,69.96,76657
2020-11-06 13:30:00,69.91,70.04,69.9,69.94,53358
2020-11-06 13:15:00,69.88,69.96,69.88,69.91,54288
2020-11-06 13:00:00,69.815,70.01,69.815,69.89,33096
2020-11-06 12:45:00,69.85,69.91,69.75,69.825,63006
2020-11-06 12:30:00,69.955,69.97,69.82,69.83,60802
2020-11-06 12:15:00,70.14,70.19,69.94,69.965,28142
2020-11-06 12:00:00,70.16,70.34,70.1,70.14,31880
2020-11-06 11:45:00,69.92,70.21,69.88,70.15,44555
2020-11-06 11:30:00,69.94,69.99,69.84,69.9,87444
2020-11-06 11:15:00,69.665,70.13,69.64,69.95,150763
2020-11-06 11:00:00,70.22,70.33,69.56,69.59,105214
2020-11-06 10:45:00,70.405,70.43,70.15,70.22,41701
2020-11-06 10:30:00,70.26,70.63,70.14,70.43,92270
2020-11-06 10:15:00,70.09,70.36,70.03,70.26,114856
2020-11-06 10:00:00,70.26,70.4534,70.02,70.13,94266
2020-11-06 09:45:00,70.56,70.7,70.18,70.21,179154
2020-11-05 17:45:00,69.63,69.96,69.63,69.96,10109
2020-11-05 16:30:00,70.47,70.47,70.47,70.47,3590
2020-11-05 16:15:00,70.47,70.47,70.36,70.36,114161
2020-11-05 16:00:00,70.73,70.8,70.44,70.47,340450
2020-11-05 15:45:00,70.93,70.93,70.72,70.74,129355
2020-11-05 15:30:00,70.81,70.97,70.77,70.925,56527
2020-11-05 15:15:00,70.985,71.015,70.77,70.8,71278
2020-11-05 15:00:00,71.17,71.185,70.96,70.985,108098
2020-11-05 14:45:00,71.08,71.18,70.955,71.18,51420
2020-11-05 14:30:00,71.05,71.14,70.99,71.08,42382
2020-11-05 14:15:00,71.095,71.215,70.99,71.07,72243
2020-11-05 14:00:00,71.18,71.18,70.99,71.1,33663
