time,open,high,low,close,volume
2020-08-10 20:00:00,8.55,8.55,8.55,8.55,187
2020-08-10 16:45:00,8.55,8.55,8.55,8.55,500
2020-08-10 16:15:00,8.62,8.62,8.505,8.505,95946
2020-08-10 16:00:00,8.605,8.62,8.57,8.62,802224
2020-08-10 15:45:00,8.6,8.61,8.59,8.6,187364
2020-08-10 15:30:00,8.575,8.61,8.565,8.6,133533
2020-08-10 15:15:00,8.52,8.58,8.515,8.575,110491
2020-08-10 15:00:00,8.505,8.535,8.495,8.525,692586
2020-08-10 14:45:00,8.52,8.53,8.49,8.505,507848
2020-08-10 14:30:00,8.52,8.535,8.51,8.52,128558
2020-08-10 14:15:00,8.5,8.53,8.485,8.52,164910
2020-08-10 14:00:00,8.5041,8.52,8.5,8.5,85756
2020-08-10 13:45:00,8.52,8.529,8.5,8.5,66122
2020-08-10 13:30:00,8.49,8.535,8.485,8.5201,122167
2020-08-10 13:15:00,8.535,8.535,8.485,8.495,87977
2020-08-10 13:00:00,8.52,8.54,8.49,8.53,74656
2020-08-10 12:45:00,8.515,8.53,8.5,8.525,82970
2020-08-10 12:30:00,8.5,8.525,8.495,8.52,96363
2020-08-10 12:15:00,8.49,8.51,8.48,8.5,60054
2020-08-10 12:00:00,8.495,8.52,8.47,8.5,98412
2020-08-10 11:45:00,8.48,8.52,8.465,8.49,121434
2020-08-10 11:30:00,8.51,8.51,8.44,8.485,167236
2020-08-10 11:15:00,8.5,8.52,8.48,8.505,106708
2020-08-10 11:00:00,8.56,8.585,8.5,8.5,308564
2020-08-10 10:45:00,8.51,8.57,8.49,8.56,717745
2020-08-10 10:30:00,8.51,8.555,8.482000000000001,8.51,461992
2020-08-10 10:15:00,8.5,8.52,8.455,8.51,219766
2020-08-10 10:00:00,8.42,8.51,8.42,8.5,368091
2020-08-10 09:45:00,8.35,8.48,8.32,8.4101,348525
2020-08-10 09:30:00,8.33,8.35,8.33,8.35,2020
2020-08-10 09:15:00,8.3,8.32,8.29,8.29,5613
2020-08-10 09:00:00,8.2701,8.2701,8.2701,8.2701,100
2020-08-10 07:30:00,8.26,8.26,8.26,8.26,200
2020-08-10 07:15:00,8.27,8.27,8.25,8.25,460
2020-08-10 06:45:00,8.28,8.28,8.28,8.28,100
2020-08-07 20:00:00,8.3,8.3,8.3,8.3,500
2020-08-07 17:15:00,8.34,8.34,8.34,8.34,172
2020-08-07 17:00:00,8.34,8.34,8.34,8.34,314
2020-08-07 16:30:00,8.31,8.33,8.31,8.33,4135
2020-08-07 16:15:00,8.31,8.34,8.31,8.34,30897
2020-08-07 16:00:00,8.275,8.315,8.25,8.3,423774
2020-08-07 15:45:00,8.22,8.29,8.2172,8.28,159800
2020-08-07 15:30:00,8.22,8.23,8.19,8.215,98387
2020-08-07 15:15:00,8.24,8.255,8.21,8.22,102365
2020-08-07 15:00:00,8.21,8.24,8.195,8.24,84190
2020-08-07 14:45:00,8.21,8.235,8.195,8.21,42879
2020-08-07 14:30:00,8.21,8.24,8.19,8.215,54084
2020-08-07 14:15:00,8.2,8.215,8.17,8.21,60488
2020-08-07 14:00:00,8.23,8.24,8.2,8.205,53805
2020-08-07 13:45:00,8.21,8.27,8.205,8.23,348051
2020-08-07 13:30:00,8.18,8.225,8.175,8.21,61395
