time,open,high,low,close,volume
2020-09-09 16:15:00,385.24,385.24,385.24,385.24,165482
2020-09-09 16:00:00,387.05,387.54,385.24,385.24,153028
2020-09-09 15:45:00,388.47,388.665,387.11,387.24,37560
2020-09-09 15:30:00,388.38,389.42,387.71,388.48,33785
2020-09-09 15:15:00,388.01,388.425,387.86,388.24,18396
2020-09-09 15:00:00,387.44,388.0091,387.22,387.85,20453
2020-09-09 14:45:00,387.64,387.77,387.07,387.44,27254
2020-09-09 14:30:00,388.18,388.1885,387.25,387.63,14975
2020-09-09 14:15:00,388.35,388.875,387.92,388.0741,15650
2020-09-09 14:00:00,388.285,388.32,387.32,388.32,12348
2020-09-09 13:45:00,387.12,388.48,387.075,388.36,25118
2020-09-09 13:30:00,386.6406,387.06,386.635,386.7781,20542
2020-09-09 13:15:00,386.15,386.9,386.025,386.65,18656
2020-09-09 13:00:00,385.79,386.09,385.37,386.09,17017
2020-09-09 12:45:00,385.4181,385.73,384.93,385.73,19508
2020-09-09 12:30:00,384.29,385.65,384.29,385.46,21695
2020-09-09 12:15:00,384.33,385.37,384.14,384.54,14161
2020-09-09 12:00:00,385.0629,385.0629,384.2343,384.36,17450
2020-09-09 11:45:00,384.33,384.865,383.93,384.79,13923
2020-09-09 11:30:00,383.53,384.8099,383.1765,384.4,21297
2020-09-09 11:15:00,381.75,383.6,381.625,383.34,38231
2020-09-09 11:00:00,383.67,383.795,381.36,381.50699999999995,30494
2020-09-09 10:45:00,383.965,384.22,383.045,383.81,15866
2020-09-09 10:30:00,384.71,386.32,384.35,384.52,27807
2020-09-09 10:15:00,383.49,385.38,382.795,384.82,29204
2020-09-09 10:00:00,382.59,384.4,382.26,383.43,35311
2020-09-09 09:45:00,382.69,384.46,381.0101,382.43,73592
2020-09-09 09:30:00,384.25,384.44,384.25,384.44,858
2020-09-08 19:45:00,378.21,378.21,378.21,378.21,400
2020-09-08 19:30:00,379.98,379.98,379.98,379.98,901
2020-09-08 18:15:00,378.16,378.16,378.16,378.16,350
2020-09-08 18:00:00,379.5,379.5,379.5,379.5,125
2020-09-08 16:30:00,380.23,380.23,380.23,380.23,20870
2020-09-08 16:15:00,382.579,382.579,380.23,380.23,15911
2020-09-08 16:00:00,382.96,383.0,379.95,380.46,153018
2020-09-08 15:45:00,382.45,383.19,381.515,382.96,45248
2020-09-08 15:30:00,381.9,382.68,381.24,382.37,41554
2020-09-08 15:15:00,382.43,382.655,380.67,381.74,36544
2020-09-08 15:00:00,382.18,383.15,381.565,382.49,26275
2020-09-08 14:45:00,384.28,384.28,382.18,382.18,21062
2020-09-08 14:30:00,384.13,384.5,383.99,384.31,15814
2020-09-08 14:15:00,384.36,384.69,384.06,384.3031,19227
2020-09-08 14:00:00,384.77,385.285,384.0,384.31,24258
2020-09-08 13:45:00,384.01,384.6499,383.73,384.54,17341
2020-09-08 13:30:00,384.1218,384.455,383.78,383.97,17603
2020-09-08 13:15:00,382.31,384.23,382.28,384.23,19463
2020-09-08 13:00:00,382.0,382.88,381.89,382.46,27043
2020-09-08 12:45:00,382.16,382.28,381.2126,381.855,16095
2020-09-08 12:30:00,380.64,383.09,380.64,382.105,17745
2020-09-08 12:15:00,379.3,380.8,379.165,380.69,20789
2020-09-08 12:00:00,379.31,379.76,378.5,379.51,31889
2020-09-08 11:45:00,380.13,380.48,379.0,379.275,23920
2020-09-08 11:30:00,380.42,381.28,379.9044,380.5,23592
2020-09-08 11:15:00,379.15,380.97,378.88,380.48,24362
2020-09-08 11:00:00,381.62,381.86,379.64,379.64,25566
2020-09-08 10:45:00,381.43,383.3,381.15,381.93,24157
2020-09-08 10:30:00,381.225,381.69,379.745,381.57,46295
2020-09-08 10:15:00,381.1,381.7,378.36,380.97,34233
2020-09-08 10:00:00,380.08,381.55,379.2,381.27,54531
2020-09-08 09:45:00,383.99,384.53,379.01,380.24,116706
2020-09-08 09:30:00,384.62,384.62,384.62,384.62,361
2020-09-04 16:15:00,384.25,385.02,384.25,385.02,28949
2020-09-04 16:00:00,385.97,386.84,384.89,384.89,100071
2020-09-04 15:45:00,387.005,387.31,385.43,386.115,33321
2020-09-04 15:30:00,386.37,388.241,386.37,387.27,29908
2020-09-04 15:15:00,387.2,387.4126,386.32,386.35,24767
2020-09-04 15:00:00,386.84,387.515,386.64,387.29,29300
2020-09-04 14:45:00,385.165,387.145,384.926,386.96,17064
2020-09-04 14:30:00,383.82,385.36,383.74,385.36,13515
2020-09-04 14:15:00,384.495,384.66,383.68,383.685,14229
2020-09-04 14:00:00,384.31,384.83,383.81,384.5737,18245
2020-09-04 13:45:00,386.24,386.24,383.7,384.11,12348
2020-09-04 13:30:00,385.335,387.16,385.29,386.71,20336
2020-09-04 13:15:00,384.68,385.45,384.26,385.335,26781
2020-09-04 13:00:00,385.075,385.94,384.775,384.955,20358
2020-09-04 12:45:00,382.03,385.09,382.0,384.63,29629
2020-09-04 12:30:00,380.86,382.33,380.42,382.14,26311
2020-09-04 12:15:00,380.69,381.24,380.35,380.59,18758
2020-09-04 12:00:00,380.44,381.5226,379.58,381.01,31145
2020-09-04 11:45:00,381.12,382.0799,380.1,380.1,29950
2020-09-04 11:30:00,382.69,383.04,380.155,380.96,50094
2020-09-04 11:15:00,383.48,383.9611,382.31,382.5501,24595
2020-09-04 11:00:00,383.72,384.2,382.0,383.37699999999995,37353
2020-09-04 10:45:00,386.62,386.8575,382.75,383.45,49324
2020-09-04 10:30:00,389.98,390.23,386.29,386.29,30383
2020-09-04 10:15:00,389.53,390.66,389.1177,390.2,27490
2020-09-04 10:00:00,390.315,391.55,389.15,389.415,36066
2020-09-04 09:45:00,388.51,390.61,388.0,390.1701,62713
2020-09-04 08:45:00,388.0,388.0,388.0,388.0,100
2020-09-03 19:15:00,384.05,384.05,384.05,384.05,261
2020-09-03 19:00:00,383.8,383.8,383.8,383.8,1101
2020-09-03 18:45:00,384.21,384.21,384.21,384.21,245
2020-09-03 17:15:00,386.0,386.0,385.0,385.0,1115
2020-09-03 16:30:00,386.29,386.29,386.27,386.27,4679
2020-09-03 16:15:00,385.01,386.29,385.01,386.29,9352
2020-09-03 16:00:00,384.63,387.17,383.38,386.29,161196
2020-09-03 15:45:00,384.51,385.49,383.81,384.6775,76751
2020-09-03 15:30:00,385.805,385.89,384.195,384.63,40906
2020-09-03 15:15:00,385.5,385.815,384.85400000000004,385.69,27351
2020-09-03 15:00:00,386.02,386.5,385.07,385.35,26629
2020-09-03 14:45:00,385.065,386.8868,384.775,386.08,31944
2020-09-03 14:30:00,385.5,385.5278,384.645,385.2128,32124
2020-09-03 14:15:00,386.36,386.62,385.465,385.67,17926
2020-09-03 14:00:00,386.23,386.69,386.105,386.53,19143
2020-09-03 13:45:00,386.79,386.895,385.52,386.23,29834
2020-09-03 13:30:00,386.574,387.41,385.6501,387.05,20538
2020-09-03 13:15:00,385.89,387.47,383.625,386.775,71643
2020-09-03 13:00:00,388.2,388.26,385.685,385.685,65843
2020-09-03 12:45:00,390.49,390.66,388.27,388.33,21447
2020-09-03 12:30:00,390.24,390.88,389.91,390.31,60354
2020-09-03 12:15:00,389.81,390.57,389.26,390.445,45422
2020-09-03 12:00:00,389.72,390.51,389.16,389.9009,37276
2020-09-03 11:45:00,388.6,391.23,388.22,389.42,39501
2020-09-03 11:30:00,390.76,391.09,386.57,388.97,64020
2020-09-03 11:15:00,393.49,393.52,389.75,390.7,49491
2020-09-03 11:00:00,395.54,396.45,392.6953,393.265,48932
2020-09-03 10:45:00,397.8202,398.48,395.2527,395.56,41538
2020-09-03 10:30:00,398.36,399.5823,396.605,397.98,36181
2020-09-03 10:15:00,401.735,401.735,396.11,398.04,46961
2020-09-03 10:00:00,400.4034,401.8755,399.1,401.63,72580
2020-09-03 09:45:00,399.5,401.26,398.0,400.6,89564
2020-09-03 09:30:00,397.7501,398.0,397.75,397.8,1220
2020-09-03 09:15:00,397.7,397.99,397.7,397.99,529
2020-09-03 08:45:00,397.75,397.75,397.75,397.75,300
2020-09-03 06:00:00,398.07,398.07,398.07,398.07,1200
2020-09-02 17:00:00,398.0,398.0,398.0,398.0,408
2020-09-02 16:15:00,398.07,398.07,398.07,398.07,12832
2020-09-02 16:00:00,397.81,398.9,397.64,398.21,141650
2020-09-02 15:45:00,397.24,398.43,397.16,397.845,78620
2020-09-02 15:30:00,396.8176,397.65,396.49,397.31,49278
2020-09-02 15:15:00,396.26,397.08,395.8,396.83,35206
2020-09-02 15:00:00,394.88,396.4,394.8,396.4,25760
2020-09-02 14:45:00,394.76,395.09,394.51,394.92,27415
2020-09-02 14:30:00,394.77,395.1125,394.44,394.79,22968
2020-09-02 14:15:00,395.1,395.165,394.08,394.645,21837
2020-09-02 14:00:00,394.36699999999996,395.5,394.36699999999996,395.03,22308
2020-09-02 13:45:00,394.715,394.87,394.3,394.37,17871
2020-09-02 13:30:00,394.95,394.95,394.3094,394.77,13869
2020-09-02 13:15:00,394.68,395.0,394.16,395.0,15929
2020-09-02 13:00:00,395.53,395.5486,394.52,394.77,23562
2020-09-02 12:45:00,395.62,395.64,394.98,395.42,21990
2020-09-02 12:30:00,395.595,395.884,395.2737,395.76,16414
2020-09-02 12:15:00,396.645,397.1,395.4401,395.72,34143
2020-09-02 12:00:00,396.005,396.89,395.37,396.68,25966
2020-09-02 11:45:00,394.68,396.3,394.64,396.07,47014
2020-09-02 11:30:00,393.09,395.28,392.88,394.855,56523
2020-09-02 11:15:00,391.45,393.4599,391.0,393.26,77139
2020-09-02 11:00:00,391.23,391.5,390.67,391.35,28176
2020-09-02 10:45:00,390.82,391.6,389.7663,391.1145,40760
2020-09-02 10:30:00,389.075,391.24,388.5,390.8816,59239
2020-09-02 10:15:00,387.9,390.06,387.67,388.875,57353
2020-09-02 10:00:00,387.37,388.74,386.09,387.65,44827
2020-09-02 09:45:00,385.15,388.54,384.11,387.83,112057
2020-09-02 09:30:00,385.39,385.39,385.39,385.39,649
2020-09-02 08:15:00,387.06,387.06,387.06,387.06,352
2020-09-02 07:45:00,387.0,387.0,387.0,387.0,645
2020-09-01 19:00:00,386.75,386.75,386.75,386.75,400
2020-09-01 17:00:00,386.5001,386.5001,386.5001,386.5001,160
2020-09-01 16:45:00,386.81,386.81,386.81,386.81,202
2020-09-01 16:15:00,386.81,386.81,386.81,386.81,6020
2020-09-01 16:00:00,386.12,386.99,385.97,386.89,74533
2020-09-01 15:45:00,386.2,386.25,385.2,386.13,36974
2020-09-01 15:30:00,386.55,386.64,386.0,386.2099,24323
2020-09-01 15:15:00,387.82,387.82,386.37,386.55,21318
2020-09-01 15:00:00,388.42,388.58,387.75,387.84,15504
2020-09-01 14:45:00,388.28,388.7171,388.225,388.5,23402
2020-09-01 14:30:00,387.69,388.345,387.615,388.33,19266
2020-09-01 14:15:00,387.83,388.06,387.57,387.7,21811
2020-09-01 14:00:00,387.76,388.31,387.7,387.895,16903
2020-09-01 13:45:00,387.36,387.8499,387.236,387.73,20278
2020-09-01 13:30:00,388.1195,388.21,387.2901,387.2901,24763
2020-09-01 13:15:00,388.3,388.4514,388.05,388.19,24121
2020-09-01 13:00:00,388.035,388.43,387.64,388.33,19340
2020-09-01 12:45:00,387.899,388.0601,387.66,387.97,21308
2020-09-01 12:30:00,387.5604,388.3199,387.2866,387.87,14304
2020-09-01 12:15:00,386.71,387.6085,386.61,387.4657,19220
2020-09-01 12:00:00,386.43,386.96,386.2464,386.62,26446
2020-09-01 11:45:00,385.85,386.83,385.8324,386.4928,26584
2020-09-01 11:30:00,386.289,386.73,385.655,385.8824,31671
2020-09-01 11:15:00,386.3894,386.75,386.0,386.09,20900
2020-09-01 11:00:00,386.505,386.68,385.8,386.32,25806
2020-09-01 10:45:00,386.305,386.68,386.1318,386.52,28184
2020-09-01 10:30:00,385.71,386.63,385.27,386.27,46024
2020-09-01 10:15:00,386.34,386.8112,385.0,385.6284,72029
2020-09-01 10:00:00,386.645,387.48,385.71,386.26,63848
2020-09-01 09:45:00,387.82,389.185,385.91,386.52,117417
2020-09-01 09:30:00,387.93,387.93,387.8,387.8,604
2020-09-01 09:15:00,389.87,389.87,389.87,389.87,595
2020-09-01 09:00:00,390.0,390.0,390.0,390.0,100
2020-09-01 07:15:00,391.0,391.0,391.0,391.0,238
2020-08-31 18:00:00,388.8,388.8,388.8,388.8,203
2020-08-31 16:15:00,389.96,390.26,388.76,390.26,10364
2020-08-31 16:00:00,390.31,391.3,390.21,390.21,101886
2020-08-31 15:45:00,389.865,390.45,389.48,390.27,46402
2020-08-31 15:30:00,389.19,390.07,389.1851,390.07,22511
2020-08-31 15:15:00,388.93,389.32,388.59,389.075,24951
2020-08-31 15:00:00,388.83,389.27,388.78,389.01,24412
2020-08-31 14:45:00,388.59,388.87,388.47,388.86,19497
2020-08-31 14:30:00,389.1554,389.1554,388.55,388.58,22080
