time,open,high,low,close,volume
2020-06-11 20:00:00,48.23,48.53,48.23,48.41,2158
2020-06-11 19:45:00,48.03,48.04,48.03,48.04,599
2020-06-11 18:45:00,47.85,47.85,47.85,47.85,100
2020-06-11 18:15:00,47.75,47.75,47.75,47.75,6558
2020-06-11 18:00:00,48.0,48.0,47.77,47.77,18492
2020-06-11 16:45:00,47.8,47.85,47.8,47.85,1102
2020-06-11 16:30:00,48.1,48.1,48.1,48.1,209
2020-06-11 16:00:00,47.88,47.89,47.63,47.76,387284
2020-06-11 15:45:00,47.39,47.95,47.3,47.89,223834
2020-06-11 15:30:00,47.155,47.44,47.05,47.395,227228
2020-06-11 15:15:00,47.24,47.36,47.0702,47.15,155125
2020-06-11 15:00:00,47.565,47.595,47.0,47.2529,202142
2020-06-11 14:45:00,47.96,48.04,47.47,47.565,170557
2020-06-11 14:30:00,47.64,48.12,47.63,47.95,161280
2020-06-11 14:15:00,47.73,47.755,47.5,47.64,111597
2020-06-11 14:00:00,47.71,47.83,47.655,47.73,126402
2020-06-11 13:45:00,47.89,47.99,47.7,47.7,86196
2020-06-11 13:30:00,47.84,48.09,47.79,47.9,86558
2020-06-11 13:15:00,47.4,47.85,47.38,47.84,85205
2020-06-11 13:00:00,47.34,47.5,47.19,47.39,126489
2020-06-11 12:45:00,47.36,47.71,47.215,47.3,156251
2020-06-11 12:30:00,47.435,47.51,47.12,47.37,315511
2020-06-11 12:15:00,47.65,47.73,47.41,47.445,136885
2020-06-11 12:00:00,47.8253,47.84,47.5,47.7,98401
2020-06-11 11:45:00,48.07,48.17,47.55,47.78,111304
2020-06-11 11:30:00,47.92,48.325,47.92,48.08,152296
2020-06-11 11:15:00,48.28,48.28,47.71,47.9,350239
2020-06-11 11:00:00,48.57,48.88,48.22,48.27,208202
2020-06-11 10:45:00,48.55,48.9,48.43,48.58,183012
2020-06-11 10:30:00,48.84,49.17,48.54,48.54,108227
2020-06-11 10:15:00,48.11,48.99,47.99,48.84,150978
2020-06-11 10:00:00,48.15,48.68,47.94,48.07,332654
2020-06-11 09:45:00,48.11,48.65,47.51,48.17,502271
2020-06-11 09:30:00,47.7,48.63,47.7,48.29,4889
2020-06-11 09:15:00,47.45,47.7,47.45,47.7,2031
2020-06-11 09:00:00,47.0,47.65,47.0,47.65,1676
2020-06-11 08:45:00,47.0,47.7999,47.0,47.5,2497
2020-06-11 08:30:00,47.4,47.44,47.4,47.44,1374
2020-06-11 08:15:00,48.6101,49.39,46.6,47.0,8091
2020-06-11 07:45:00,48.2,48.63,47.8,47.8,1704
2020-06-11 07:30:00,48.81,48.81,48.5,48.5,591
2020-06-11 07:15:00,49.5,49.5,49.0,49.0,1234
2020-06-10 19:15:00,52.0,52.0,52.0,52.0,100
2020-06-10 18:45:00,52.14,52.14,51.95,51.95,216
2020-06-10 18:00:00,52.49,52.4901,52.4,52.4,901
2020-06-10 16:45:00,52.4,52.4,52.4,52.4,131
2020-06-10 16:30:00,52.14,52.14,52.14,52.14,298
2020-06-10 16:15:00,52.48,52.48,52.0,52.0,23037
2020-06-10 16:00:00,52.68,52.76,52.44,52.47,322124
2020-06-10 15:45:00,53.26,53.26,52.62,52.675,112787
2020-06-10 15:30:00,52.95,53.2899,52.8,53.265,63381
2020-06-10 15:15:00,52.86,53.03,52.5,52.98,74504
2020-06-10 15:00:00,53.31,53.35,52.69,52.88,64823
2020-06-10 14:45:00,53.67,53.7,52.91,53.35,110134
2020-06-10 14:30:00,53.565,53.76,53.47,53.645,43960
2020-06-10 14:15:00,53.06,53.68,52.73,53.53,53414
2020-06-10 14:00:00,52.97,53.185,52.87,53.0,52294
2020-06-10 13:45:00,52.95,53.15,52.94,52.98,43120
2020-06-10 13:30:00,53.11,53.3,52.93,52.94,54539
2020-06-10 13:15:00,52.96,53.15,52.84,53.14,42219
2020-06-10 13:00:00,52.7,53.09,52.64,52.99,58931
2020-06-10 12:45:00,52.8227,52.96,52.53,52.72,120266
2020-06-10 12:30:00,52.57,52.94,52.52,52.84,66963
2020-06-10 12:15:00,52.69,52.965,52.57,52.57,57895
2020-06-10 12:00:00,52.25,52.83,52.17,52.64,113942
2020-06-10 11:45:00,51.62,52.37,51.5,52.24,118397
2020-06-10 11:30:00,51.52,51.82,51.48,51.6,136177
2020-06-10 11:15:00,50.86,51.51,50.81,51.43,566320
2020-06-10 11:00:00,51.02,51.11,50.76,50.87,129975
2020-06-10 10:45:00,51.09,51.485,51.0,51.02,203339
2020-06-10 10:30:00,51.09,51.28,50.61,51.12,158544
2020-06-10 10:15:00,52.11,52.26,51.05,51.14,101014
2020-06-10 10:00:00,52.06,52.31,51.85,52.11,167787
2020-06-10 09:45:00,54.04,54.04,51.93,52.06,245398
2020-06-10 09:30:00,53.62,53.87,53.62,53.87,1187
2020-06-10 09:00:00,53.7106,53.7106,53.7106,53.7106,100
2020-06-10 08:45:00,53.77,53.77,53.77,53.77,150
2020-06-09 20:00:00,53.63,53.77,53.63,53.77,550
2020-06-09 18:30:00,53.41,53.41,53.41,53.41,225
2020-06-09 17:45:00,53.75,53.75,53.75,53.75,200
2020-06-09 17:00:00,53.5,53.7,53.49,53.7,2241
2020-06-09 16:15:00,53.42,53.5529,53.42,53.5529,44454
2020-06-09 16:00:00,53.77,53.8,53.33,53.42,472917
2020-06-09 15:45:00,54.23,54.23,53.765,53.77,161655
2020-06-09 15:30:00,53.96,54.265,53.96,54.235,79564
2020-06-09 15:15:00,53.96,54.04,53.85,53.98,56960
2020-06-09 15:00:00,53.99,54.1,53.875,53.97,63545
2020-06-09 14:45:00,53.95,54.065,53.89,54.0,64457
2020-06-09 14:30:00,54.06,54.19,53.84,53.98,61114
2020-06-09 14:15:00,54.49,54.49,54.02,54.05,58020
2020-06-09 14:00:00,54.62,54.64,54.37,54.48,39860
2020-06-09 13:45:00,54.56,54.64,54.35,54.62,45898
2020-06-09 13:30:00,54.25,54.65,54.2,54.57,52495
2020-06-09 13:15:00,54.23,54.33,54.21,54.25,40451
2020-06-09 13:00:00,54.2601,54.46,54.23,54.23,47360
2020-06-09 12:45:00,54.385,54.475,54.12,54.275,52455
2020-06-09 12:30:00,54.26,54.4,54.13,54.39,64355
2020-06-09 12:15:00,54.23,54.32,54.16,54.26,60073
2020-06-09 12:00:00,54.39,54.515,54.1516,54.21,74048
2020-06-09 11:45:00,54.52,54.61,54.26,54.3901,107555
2020-06-09 11:30:00,54.675,54.91,54.45,54.56,114136
2020-06-09 11:15:00,55.1,55.1,54.61,54.66,92976
2020-06-09 11:00:00,54.63,55.34,54.63,55.07,104973
2020-06-09 10:45:00,54.5,54.63,54.16,54.6,111108
2020-06-09 10:30:00,54.29,54.925,54.24,54.53,120063
2020-06-09 10:15:00,54.9,54.94,54.07,54.26,126866
2020-06-09 10:00:00,55.68,55.68,54.67,54.9,121838
2020-06-09 09:45:00,55.81,55.89,55.0,55.625,173226
2020-06-09 09:30:00,55.3802,56.03,55.3802,56.0,984
2020-06-09 09:15:00,55.98,55.98,55.31,55.31,835
2020-06-09 09:00:00,55.14,55.95,55.14,55.95,211
2020-06-09 08:45:00,55.52,56.35,55.5,56.35,651
2020-06-09 08:30:00,55.5,55.5,55.5,55.5,280
2020-06-09 08:15:00,54.2656,55.5,54.0,54.97,1995
2020-06-09 07:15:00,54.25,54.25,54.25,54.25,501
2020-06-09 05:45:00,54.0,54.0,54.0,54.0,100
2020-06-09 05:30:00,54.0,54.0,54.0,54.0,629
2020-06-08 19:45:00,56.99,56.99,56.99,56.99,174
2020-06-08 19:15:00,56.9399,56.9399,56.9399,56.9399,500
2020-06-08 18:30:00,56.94,56.94,56.67,56.67,506
2020-06-08 18:15:00,56.94,56.94,56.82,56.82,321
2020-06-08 18:00:00,56.95,56.95,56.95,56.95,101
2020-06-08 17:00:00,56.93,56.93,56.93,56.93,109
2020-06-08 16:45:00,56.91,56.91,56.91,56.91,100
2020-06-08 16:30:00,56.93,56.93,56.93,56.93,101
2020-06-08 16:15:00,57.09,57.09,56.76,57.09,120481
2020-06-08 16:00:00,56.97,57.14,56.8,57.09,458779
2020-06-08 15:45:00,56.65,57.015,56.59,56.98,207368
2020-06-08 15:30:00,56.45,56.75,56.36,56.64,157086
2020-06-08 15:15:00,56.55,56.59,56.25,56.45,123057
2020-06-08 15:00:00,56.18,56.58,56.15,56.58,87807
2020-06-08 14:45:00,56.4,56.46,56.18,56.2,66278
2020-06-08 14:30:00,56.285,56.54,56.24,56.41,73917
2020-06-08 14:15:00,56.38,56.48,56.26,56.285,102371
2020-06-08 14:00:00,56.66,56.76,56.38,56.4,97827
2020-06-08 13:45:00,56.47,56.72,56.435,56.645,92310
2020-06-08 13:30:00,56.845,56.86,56.41,56.465,78802
2020-06-08 13:15:00,56.67,57.01,56.62,56.83,120092
2020-06-08 13:00:00,56.495,56.71,56.49,56.67,91280
2020-06-08 12:45:00,56.265,56.56,56.24,56.4999,96095
2020-06-08 12:30:00,56.15,56.35,56.03,56.27,197486
2020-06-08 12:15:00,56.74,56.8895,56.14,56.17,113580
2020-06-08 12:00:00,56.235,56.76,56.16,56.75,111729
2020-06-08 11:45:00,56.46,56.62,56.08,56.24,108530
2020-06-08 11:30:00,56.65,57.015,56.42,56.47,118701
2020-06-08 11:15:00,56.98,57.05,56.61,56.66,152805
2020-06-08 11:00:00,57.55,57.65,56.79,56.97,173913
2020-06-08 10:45:00,57.46,57.7,57.2,57.535,196645
2020-06-08 10:30:00,57.48,57.76,57.37,57.43,147898
2020-06-08 10:15:00,58.16,58.16,57.22,57.5,241374
2020-06-08 10:00:00,59.5,59.54,57.74,58.16,263199
2020-06-08 09:45:00,58.27,59.7,58.17,59.55,349593
2020-06-08 09:30:00,58.35,58.35,57.9,57.9,4985
2020-06-08 09:15:00,58.8046,58.8046,58.8046,58.8046,108
2020-06-08 09:00:00,58.82,58.82,58.2502,58.2502,678
2020-06-08 08:45:00,58.99,58.99,58.9898,58.99,1005
2020-06-08 08:30:00,59.13,59.15,59.13,59.15,500
2020-06-08 08:15:00,58.0,59.99,58.0,59.0,3976
2020-06-08 08:00:00,58.98,59.0,58.98,59.0,773
2020-06-05 20:00:00,56.64,56.64,56.64,56.64,706
2020-06-05 17:00:00,56.76,56.76,56.76,56.76,103
2020-06-05 16:15:00,56.96,56.97,56.96,56.97,39660
2020-06-05 16:00:00,56.565,57.04,56.495,56.96,526345
2020-06-05 15:45:00,56.48,56.69,56.4,56.565,271825
2020-06-05 15:30:00,56.545,56.78,56.33,56.48,309586
2020-06-05 15:15:00,57.06,57.08,56.48,56.56,160263
2020-06-05 15:00:00,56.95,57.17,56.76,57.05,291722
2020-06-05 14:45:00,56.52,57.0,56.39,56.97,128352
2020-06-05 14:30:00,56.47,56.7,56.43,56.52,92451
2020-06-05 14:15:00,56.94,56.9794,56.41,56.47,154952
2020-06-05 14:00:00,57.345,57.39,56.795,56.93,219756
2020-06-05 13:45:00,58.18,58.19,57.3,57.35,161850
2020-06-05 13:30:00,57.855,58.18,57.72,58.16,114565
2020-06-05 13:15:00,58.19,58.34,57.8,57.8543,130143
2020-06-05 13:00:00,58.0,58.2,57.85,58.18,117023
2020-06-05 12:45:00,57.91,58.13,57.87,57.985,184908
2020-06-05 12:30:00,57.66,57.97,57.59,57.9,109721
2020-06-05 12:15:00,57.665,57.99,57.66,57.67,116137
2020-06-05 12:00:00,57.27,57.89,57.25,57.62,208126
2020-06-05 11:45:00,57.095,57.405,57.035,57.28,153808
2020-06-05 11:30:00,56.83,57.34,56.57,57.1,246531
2020-06-05 11:15:00,57.0,57.13,56.73,56.83,107416
2020-06-05 11:00:00,56.82,57.07,56.68,56.99,142037
2020-06-05 10:45:00,56.62,56.92,56.31,56.8057,160699
2020-06-05 10:30:00,56.3,56.8,56.16,56.65,312605
2020-06-05 10:15:00,56.01,56.63,55.93,56.3,415386
2020-06-05 10:00:00,57.545,57.77,55.67,55.93,368358
2020-06-05 09:45:00,55.5,58.28,55.24,57.545,541845
2020-06-05 09:30:00,57.0,57.25,55.12,55.15,7219
2020-06-05 09:15:00,55.99,57.04,55.8,56.98,6375
2020-06-05 09:00:00,56.03,56.3299,56.03,56.3299,415
2020-06-05 08:45:00,55.25,55.51,55.25,55.51,5147
2020-06-05 08:30:00,55.2499,55.2499,55.2499,55.2499,200
2020-06-05 08:15:00,55.45,55.45,54.65,55.1,3414
2020-06-05 07:30:00,55.0,55.0,55.0,55.0,1200
2020-06-05 04:15:00,54.61,54.61,54.61,54.61,100
2020-06-04 20:00:00,53.66,53.66,53.66,53.66,100
2020-06-04 18:00:00,53.65,53.65,53.65,53.65,100
2020-06-04 17:45:00,53.65,53.65,53.65,53.65,400
2020-06-04 17:15:00,53.45,53.45,53.45,53.45,536
2020-06-04 17:00:00,54.57,54.57,54.14,54.14,630
2020-06-04 16:15:00,53.47,53.47,53.47,53.47,424477
2020-06-04 16:00:00,53.09,53.49,53.03,53.46,335024
2020-06-04 15:45:00,52.96,53.14,52.86,53.085,142665
2020-06-04 15:30:00,52.75,53.185,52.61,52.98,115242
2020-06-04 15:15:00,52.98,53.145,52.72,52.74,150649
2020-06-04 15:00:00,53.38,53.48,52.96,52.9655,52506
2020-06-04 14:45:00,53.6,53.62,53.18,53.37,61420
2020-06-04 14:30:00,53.095,53.65,53.085,53.6,164911
2020-06-04 14:15:00,52.79,53.43,52.79,53.1,293212
2020-06-04 14:00:00,52.98,53.0,52.625,52.8,102106
2020-06-04 13:45:00,52.885,53.09,52.865,52.98,112462
2020-06-04 13:30:00,52.97,53.06,52.86,52.87,86595
2020-06-04 13:15:00,53.12,53.14,52.87,52.98,160077
2020-06-04 13:00:00,53.46,53.5,53.01,53.12,122640
2020-06-04 12:45:00,53.6,53.63,53.28,53.455,84739
2020-06-04 12:30:00,53.9,54.03,53.57,53.62,69758
2020-06-04 12:15:00,53.98,54.0,53.82,53.91,87610
2020-06-04 12:00:00,54.32,54.33,53.89,53.965,121890
2020-06-04 11:45:00,54.63,54.63,54.24,54.33,105985
2020-06-04 11:30:00,55.335,55.6,54.445,54.58,96628
2020-06-04 11:15:00,55.33,55.89,55.11,55.34,252968
2020-06-04 11:00:00,54.55,55.38,54.525,55.33,157719
2020-06-04 10:45:00,54.55,54.7654,54.31,54.52,83592
2020-06-04 10:30:00,54.12,54.61,54.12,54.56,79651
2020-06-04 10:15:00,53.64,54.17,53.62,54.05,75304
2020-06-04 10:00:00,53.63,54.11,53.01,53.75,78177
2020-06-04 09:45:00,54.15,54.43,53.55,53.6,132640
2020-06-04 09:30:00,53.51,53.51,53.51,53.51,290
2020-06-04 09:15:00,53.5,53.5,53.5,53.5,200
2020-06-04 09:00:00,53.0,53.5,53.0,53.5,507
2020-06-04 08:45:00,54.0,54.0,53.5,53.5,784
2020-06-04 08:30:00,53.91,53.91,53.91,53.91,400
2020-06-04 08:15:00,54.5,54.5,53.78,53.8,1285
2020-06-04 08:00:00,53.72,54.0,53.7,54.0,720
2020-06-04 07:45:00,53.91,53.91,53.91,53.91,924
2020-06-04 06:30:00,53.5,53.5,53.5,53.5,100
2020-06-04 04:15:00,53.5,53.5,53.5,53.5,466
2020-06-03 20:00:00,54.72,54.72,54.72,54.72,965
2020-06-03 18:30:00,53.8,53.8,53.8,53.8,500
2020-06-03 17:45:00,53.92,53.92,53.92,53.92,102
2020-06-03 17:30:00,53.66,53.66,53.66,53.66,126
2020-06-03 16:45:00,54.9841,54.9841,54.9841,54.9841,6650
2020-06-03 16:30:00,53.97,53.97,53.91,53.91,1000
2020-06-03 16:15:00,53.91,53.92,53.91,53.92,179111
2020-06-03 16:00:00,53.99,54.15,53.81,53.91,599143
2020-06-03 15:45:00,54.17,54.205,53.99,54.01,231328
2020-06-03 15:30:00,54.155,54.4827,54.07,54.19,243295
2020-06-03 15:15:00,54.6,54.61,54.14,54.14,195397
2020-06-03 15:00:00,55.035,55.2,54.62,54.63,140916
2020-06-03 14:45:00,55.46,55.46,55.025,55.025,101292
2020-06-03 14:30:00,55.81,56.12,55.41,55.46,181365
2020-06-03 14:15:00,55.25,55.86,55.23,55.8,278528
2020-06-03 14:00:00,55.2177,55.36,54.96,55.25,126913
2020-06-03 13:45:00,55.41,55.4819,54.9,55.25,134756
2020-06-03 13:30:00,55.56,55.73,55.42,55.43,110251
2020-06-03 13:15:00,55.38,55.67,55.35,55.58,98615
2020-06-03 13:00:00,55.62,55.69,55.25,55.38,134903
2020-06-03 12:45:00,55.115,55.62,55.06,55.61,144243
2020-06-03 12:30:00,55.11,55.2109,54.92,55.13,114984
2020-06-03 12:15:00,54.9157,55.09,54.88,55.07,95195
2020-06-03 12:00:00,55.02,55.1,54.75,54.915,99477
2020-06-03 11:45:00,55.08,55.3,54.925,55.0,169515
2020-06-03 11:30:00,54.39,55.3,54.38,55.075,297143
2020-06-03 11:15:00,54.16,54.575,54.15,54.375,261403
2020-06-03 11:00:00,54.18,54.43,54.06,54.16,201633
2020-06-03 10:45:00,53.98,54.2,53.88,54.1501,210531
2020-06-03 10:30:00,53.32,54.04,53.305,53.98,313804
2020-06-03 10:15:00,52.85,53.33,52.82,53.31,191489
2020-06-03 10:00:00,52.3,52.84,52.11,52.81,201551
2020-06-03 09:45:00,51.38,52.33,51.38,52.235,197658
2020-06-03 09:30:00,51.77,51.78,51.66,51.78,2167
2020-06-03 09:15:00,51.26,51.4,51.25,51.4,1449
2020-06-03 08:45:00,51.25,51.25,51.25,51.25,611
2020-06-03 08:30:00,51.25,51.25,51.25,51.25,852
2020-06-02 16:45:00,50.6,50.6,50.6,50.6,300
2020-06-02 16:15:00,50.53,50.53,50.3,50.53,68212
2020-06-02 16:00:00,50.06,50.54,49.97,50.53,628906
2020-06-02 15:45:00,50.39,50.61,50.06,50.06,260652
2020-06-02 15:30:00,50.6,50.63,50.34,50.39,227963
2020-06-02 15:15:00,50.74,50.92,50.53,50.6,186721
2020-06-02 15:00:00,51.185,51.185,50.71,50.72,169577
2020-06-02 14:45:00,51.505,51.51,51.19,51.19,170883
2020-06-02 14:30:00,51.43,51.58,51.4,51.4985,62676
2020-06-02 14:15:00,51.495,51.51,51.235,51.43,62460
2020-06-02 14:00:00,51.47,51.53,51.29,51.51,45657
2020-06-02 13:45:00,51.39,51.58,51.38,51.47,52210
2020-06-02 13:30:00,51.5,51.55,51.4,51.41,84106
2020-06-02 13:15:00,51.62,51.77,51.48,51.5,119340
2020-06-02 13:00:00,51.5,51.595,51.4,51.59,42824
2020-06-02 12:45:00,51.7201,51.745,51.398999999999994,51.49,63397
2020-06-02 12:30:00,51.5915,51.87,51.58,51.75,37151
2020-06-02 12:15:00,51.525,51.735,51.495,51.62,38308
2020-06-02 12:00:00,51.6,51.76,51.4564,51.525,65623
2020-06-02 11:45:00,51.3,51.61,51.28,51.58,70152
2020-06-02 11:30:00,50.91,51.42,50.88,51.3,76643
2020-06-02 11:15:00,51.49,51.519,50.63,50.88,236541
2020-06-02 11:00:00,52.13,52.24,51.39,51.45,182084
