time,open,high,low,close,volume
2020-04-09 20:00:00,13.63,13.63,13.55,13.6,30820
2020-04-09 19:45:00,13.65,13.65,13.61,13.61,14696
2020-04-09 19:30:00,13.68,13.68,13.55,13.65,12365
2020-04-09 19:15:00,13.5,13.7,13.5,13.7,34898
2020-04-09 19:00:00,13.44,13.5,13.31,13.5,12451
2020-04-09 18:45:00,13.38,13.4,13.25,13.3,49205
2020-04-09 18:30:00,13.4,13.4,13.3,13.38,45811
2020-04-09 18:15:00,13.3,13.4,13.29,13.4,17739
2020-04-09 18:00:00,13.37,13.4,13.28,13.3,31416
2020-04-09 17:45:00,13.38,13.4,13.35,13.4,25295
2020-04-09 17:30:00,13.39,13.4,13.36,13.38,42601
2020-04-09 17:15:00,13.45,13.48,13.37,13.4,45693
2020-04-09 17:00:00,13.5,13.51,13.4,13.4,42228
2020-04-09 16:45:00,13.5,13.58,13.5,13.5,48377
2020-04-09 16:30:00,13.41,13.52,13.4,13.5,44152
2020-04-09 16:15:00,13.15,13.49,13.11,13.4,89861
2020-04-09 16:00:00,13.11,13.15,12.95,13.1147,2232340
2020-04-09 15:45:00,13.07,13.2,12.92,13.11,1390358
2020-04-09 15:30:00,12.9699,13.09,12.774000000000001,13.06,1420338
2020-04-09 15:15:00,12.59,13.16,12.4,12.97,2481004
2020-04-09 15:00:00,13.07,13.2,12.25,12.58,3754313
2020-04-09 14:45:00,13.46,13.5493,13.0311,13.061,2055010
2020-04-09 14:30:00,13.58,13.75,13.4,13.47,2186473
2020-04-09 14:15:00,14.04,14.14,13.57,13.58,1635460
2020-04-09 14:00:00,14.015,14.0799,13.83,14.035,1163397
2020-04-09 13:45:00,13.97,14.18,13.92,14.013,1833433
2020-04-09 13:30:00,13.7819,14.0,13.75,13.965,988479
2020-04-09 13:15:00,13.8983,13.93,13.73,13.78,737582
2020-04-09 13:00:00,13.81,14.0,13.75,13.885,923540
2020-04-09 12:45:00,13.7299,13.9,13.62,13.8,1119165
2020-04-09 12:30:00,13.86,14.0,13.7,13.715,1139010
2020-04-09 12:15:00,13.7351,13.95,13.685,13.8609,1293238
2020-04-09 12:00:00,13.74,13.82,13.61,13.7301,961399
2020-04-09 11:45:00,13.6834,13.79,13.56,13.73,1149620
2020-04-09 11:30:00,13.63,13.7,13.45,13.67,1146264
2020-04-09 11:15:00,13.7257,13.75,13.47,13.63,1399398
2020-04-09 11:00:00,13.84,13.88,13.6,13.68,1244735
2020-04-09 10:45:00,13.78,13.98,13.6,13.8318,1982102
2020-04-09 10:30:00,13.66,13.8,13.26,13.78,3542909
2020-04-09 10:15:00,13.9719,14.05,13.5,13.65,3703109
2020-04-09 10:00:00,13.6799,13.98,13.13,13.975,4000030
2020-04-09 09:45:00,12.72,13.86,12.4,13.664000000000001,6330567
2020-04-09 09:30:00,12.52,12.65,12.4,12.56,150868
2020-04-09 09:15:00,12.41,12.53,12.38,12.53,218971
2020-04-09 09:00:00,12.15,12.5,12.12,12.41,137696
2020-04-09 08:45:00,11.84,12.26,11.84,12.12,142870
2020-04-09 08:30:00,11.9,11.9102,11.76,11.82,30865
2020-04-09 08:15:00,12.3999,12.425,11.8,11.9,187544
2020-04-09 08:00:00,12.18,12.25,12.15,12.15,14032
2020-04-09 07:45:00,12.25,12.25,12.15,12.2,41933
2020-04-09 07:30:00,12.29,12.35,12.25,12.25,7347
2020-04-09 07:15:00,12.25,12.4,12.21,12.37,47412
2020-04-09 07:00:00,12.26,12.39,12.25,12.32,3534
2020-04-09 06:45:00,12.33,12.33,12.24,12.24,15470
2020-04-09 06:30:00,12.36,12.36,12.35,12.35,2499
2020-04-09 06:15:00,12.31,12.5,12.31,12.5,2898
2020-04-09 06:00:00,12.35,12.41,12.3,12.41,7315
2020-04-09 05:45:00,12.36,12.37,12.35,12.35,905
2020-04-09 05:30:00,12.4,12.4,12.28,12.3,4511
2020-04-09 05:15:00,12.4,12.6,12.4,12.4,3628
2020-04-09 05:00:00,12.49,12.7,12.4,12.4,18724
2020-04-09 04:45:00,12.55,12.65,12.4,12.4,6990
2020-04-09 04:30:00,12.52,12.75,12.52,12.55,13453
2020-04-09 04:15:00,12.46,12.79,12.46,12.52,15215
2020-04-08 20:00:00,12.09,12.2,12.04,12.2,39895
2020-04-08 19:45:00,11.95,12.01,11.95,12.01,37992
2020-04-08 19:30:00,11.9301,11.98,11.9,11.95,34145
2020-04-08 19:15:00,11.95,11.99,11.9,11.95,33649
2020-04-08 19:00:00,11.92,11.97,11.91,11.95,43946
2020-04-08 18:45:00,11.94,11.94,11.88,11.94,27694
2020-04-08 18:30:00,11.85,11.94,11.84,11.9,30065
2020-04-08 18:15:00,11.86,11.86,11.82,11.85,16845
2020-04-08 18:00:00,11.85,11.86,11.84,11.85,13065
2020-04-08 17:45:00,11.85,11.88,11.82,11.85,14460
2020-04-08 17:30:00,11.86,11.88,11.81,11.81,7453
2020-04-08 17:15:00,11.85,11.87,11.81,11.87,25081
2020-04-08 17:00:00,11.88,11.89,11.85,11.87,11086
2020-04-08 16:45:00,11.84,11.92,11.83,11.85,35458
2020-04-08 16:30:00,11.72,11.85,11.71,11.83,17572
2020-04-08 16:15:00,11.71,11.75,11.7,11.72,119419
2020-04-08 16:00:00,11.59,11.73,11.56,11.71,1564141
2020-04-08 15:45:00,11.6,11.72,11.52,11.5875,1010316
2020-04-08 15:30:00,11.645,11.75,11.59,11.595,712323
2020-04-08 15:15:00,11.6299,11.83,11.605,11.6499,844800
2020-04-08 15:00:00,11.655,11.69,11.55,11.62,715844
2020-04-08 14:45:00,11.495,11.71,11.47,11.6517,657059
2020-04-08 14:30:00,11.33,11.56,11.31,11.4933,654800
2020-04-08 14:15:00,11.38,11.52,11.3,11.325,552431
2020-04-08 14:00:00,11.39,11.5533,11.35,11.37,772933
2020-04-08 13:45:00,11.58,11.62,11.36,11.3901,1025667
2020-04-08 13:30:00,11.5969,11.73,11.57,11.595,618531
2020-04-08 13:15:00,11.66,11.685,11.5314,11.5939,469862
2020-04-08 13:00:00,11.74,11.77,11.595,11.66,571141
2020-04-08 12:45:00,11.54,11.77,11.53,11.735,823586
2020-04-08 12:30:00,11.52,11.7099,11.48,11.54,754598
2020-04-08 12:15:00,11.62,11.635,11.4,11.52,942035
2020-04-08 12:00:00,11.655,11.85,11.53,11.6199,1168954
2020-04-08 11:45:00,11.5847,11.95,11.56,11.6586,1711038
2020-04-08 11:30:00,11.4902,11.677,11.48,11.58,929275
2020-04-08 11:15:00,11.33,11.6,11.32,11.5,983336
2020-04-08 11:00:00,11.2,11.37,11.16,11.33,719658
2020-04-08 10:45:00,11.3099,11.45,11.1101,11.2,1006174
2020-04-08 10:30:00,11.0941,11.34,11.01,11.29,1198873
2020-04-08 10:15:00,11.38,11.4699,10.91,11.11,2068143
2020-04-08 10:00:00,11.66,11.78,11.315,11.37,1427347
2020-04-08 09:45:00,11.46,11.78,11.1,11.66,3240034
2020-04-08 09:30:00,11.7498,11.76,11.5,11.5,99537
2020-04-08 09:15:00,11.72,11.78,11.67,11.76,52008
2020-04-08 09:00:00,11.7,11.86,11.65,11.7,107945
2020-04-08 08:45:00,11.71,11.73,11.61,11.7,57960
2020-04-08 08:30:00,11.67,11.74,11.63,11.71,43169
2020-04-08 08:15:00,11.5999,11.85,11.4,11.64,85316
2020-04-08 08:00:00,11.52,11.63,11.52,11.63,4457
2020-04-08 07:45:00,11.64,11.67,11.5,11.6,17356
2020-04-08 07:30:00,11.8,11.8,11.65,11.7,24848
2020-04-08 07:15:00,11.5,11.85,11.45,11.8,31872
