time,open,high,low,close,volume
2020-10-09 19:00:00,9.1,9.1,9.1,9.1,872
2020-10-09 18:30:00,9.1,9.1,9.1,9.1,128
2020-10-09 18:00:00,9.1,9.1,9.1,9.1,100
2020-10-09 17:45:00,9.1,9.1,9.1,9.1,2122
2020-10-09 17:30:00,9.1,9.1,9.1,9.1,100
2020-10-09 16:30:00,9.1,9.1,9.1,9.1,100
2020-10-09 16:15:00,9.05,9.05,9.05,9.05,34269
2020-10-09 16:00:00,9.035,9.06,9.03,9.04,329241
2020-10-09 15:45:00,9.085,9.09,9.025,9.035,173643
2020-10-09 15:30:00,9.08,9.1,9.065,9.085,88633
2020-10-09 15:15:00,9.075,9.09,9.07,9.082,71025
2020-10-09 15:00:00,9.095,9.095,9.065,9.075,87659
2020-10-09 14:45:00,9.07,9.1,9.06,9.095,103821
2020-10-09 14:30:00,9.125,9.125,9.064,9.065,51562
2020-10-09 14:15:00,9.145,9.15,9.115,9.125,74806
2020-10-09 14:00:00,9.11,9.15,9.105,9.15,75649
2020-10-09 13:45:00,9.085,9.1275,9.08,9.115,69792
2020-10-09 13:30:00,9.11,9.125,9.075,9.09,68941
2020-10-09 13:15:00,9.115,9.115,9.065,9.11,95408
2020-10-09 13:00:00,9.14,9.16,9.105,9.115,62387
2020-10-09 12:45:00,9.145,9.1785,9.125,9.145,77813
2020-10-09 12:30:00,9.15,9.18,9.11,9.14,95519
2020-10-09 12:15:00,9.135,9.17,9.135,9.1501,60195
2020-10-09 12:00:00,9.02,9.17,9.02,9.135,117374
2020-10-09 11:45:00,9.025,9.05,9.01,9.01,109476
2020-10-09 11:30:00,9.04,9.09,9.02,9.025,82022
2020-10-09 11:15:00,9.03,9.08,9.02,9.045,66760
2020-10-09 11:00:00,9.035,9.06,9.01,9.03,78824
2020-10-09 10:45:00,8.99,9.045,8.98,9.035,98679
2020-10-09 10:30:00,9.13,9.18,8.99,8.99,164373
2020-10-09 10:15:00,9.14,9.145,9.1,9.13,268492
2020-10-09 10:00:00,9.135,9.175,9.1,9.145,154267
2020-10-09 09:45:00,9.34,9.38,9.09,9.14,284549
2020-10-09 09:00:00,9.4076,9.4076,9.4076,9.4076,500
2020-10-09 08:15:00,9.21,9.21,9.2,9.21,1500
2020-10-09 07:15:00,9.27,9.27,9.27,9.27,210
2020-10-08 18:45:00,9.25,9.25,9.25,9.25,175
2020-10-08 18:30:00,9.33,9.33,9.33,9.33,150
2020-10-08 17:45:00,9.25,9.25,9.25,9.25,188
2020-10-08 17:15:00,9.25,9.25,9.25,9.25,952
2020-10-08 17:00:00,9.23,9.23,9.22,9.22,200
2020-10-08 16:45:00,9.24,9.24,9.24,9.24,100
2020-10-08 16:15:00,9.25,9.25,9.25,9.25,35333
2020-10-08 16:00:00,9.2,9.26,9.17,9.26,921306
2020-10-08 15:45:00,9.24,9.25,9.19,9.195,233640
2020-10-08 15:30:00,9.195,9.26,9.183,9.25,301197
2020-10-08 15:15:00,9.2,9.21,9.17,9.2,70538
2020-10-08 15:00:00,9.18,9.21,9.17,9.19,71515
2020-10-08 14:45:00,9.185,9.21,9.16,9.17,113879
2020-10-08 14:30:00,9.16,9.195,9.16,9.185,62189
2020-10-08 14:15:00,9.14,9.175,9.135,9.155,71265
2020-10-08 14:00:00,9.11,9.15,9.11,9.135,36388
2020-10-08 13:45:00,9.12,9.125,9.08,9.115,54608
2020-10-08 13:30:00,9.1,9.12,9.09,9.12,46604
2020-10-08 13:15:00,9.0899,9.11,9.075,9.11,49568
2020-10-08 13:00:00,9.1,9.12,9.08,9.09,41032
2020-10-08 12:45:00,9.095,9.12,9.08,9.095,112312
2020-10-08 12:30:00,9.055,9.105,9.05,9.095,75849
2020-10-08 12:15:00,9.03,9.055,9.005,9.05,57751
2020-10-08 12:00:00,9.025,9.04,8.965,9.03,101696
2020-10-08 11:45:00,9.015,9.03,8.96,9.02,65033
2020-10-08 11:30:00,9.035,9.04,9.0,9.01,199300
2020-10-08 11:15:00,9.03,9.06,9.0,9.035,164233
2020-10-08 11:00:00,9.03,9.075,9.015,9.03,80888
2020-10-08 10:45:00,9.02,9.07,9.0,9.025,99414
2020-10-08 10:30:00,8.96,9.04,8.945,9.01,98388
2020-10-08 10:15:00,9.0,9.02,8.9199,8.955,141660
2020-10-08 10:00:00,8.995,9.05,8.96,9.0038,251109
2020-10-08 09:45:00,8.87,9.0,8.81,8.99,137966
2020-10-08 09:30:00,8.79,8.79,8.79,8.79,100
2020-10-08 09:00:00,8.78,8.78,8.78,8.78,470
2020-10-08 08:45:00,8.93,8.93,8.93,8.93,559
2020-10-07 19:15:00,8.92,8.92,8.92,8.92,230
2020-10-07 16:15:00,8.77,8.77,8.76,8.77,58178
2020-10-07 16:00:00,8.79,8.79,8.75,8.77,611830
2020-10-07 15:45:00,8.785,8.8,8.75,8.785,166776
2020-10-07 15:30:00,8.765,8.79,8.755,8.78,103427
2020-10-07 15:15:00,8.765,8.78,8.74,8.765,181948
2020-10-07 15:00:00,8.81,8.815,8.76,8.77,143116
2020-10-07 14:45:00,8.8,8.815,8.785,8.815,83446
2020-10-07 14:30:00,8.775,8.82,8.76,8.805,140484
2020-10-07 14:15:00,8.775,8.85,8.77,8.77,170166
2020-10-07 14:00:00,8.77,8.81,8.76,8.775,64823
2020-10-07 13:45:00,8.74,8.785,8.72,8.77,101397
2020-10-07 13:30:00,8.73,8.74,8.71,8.735,80459
2020-10-07 13:15:00,8.7385,8.75,8.72,8.735,99974
2020-10-07 13:00:00,8.71,8.74,8.71,8.735,53506
2020-10-07 12:45:00,8.71,8.73,8.705,8.715,34023
2020-10-07 12:30:00,8.665,8.715,8.66,8.715,57207
2020-10-07 12:15:00,8.705,8.71,8.66,8.665,48175
2020-10-07 12:00:00,8.705,8.71,8.67,8.705,59018
2020-10-07 11:45:00,8.66,8.74,8.66,8.705,78956
2020-10-07 11:30:00,8.735,8.74,8.655,8.66,68517
2020-10-07 11:15:00,8.735,8.75,8.7,8.73,66750
2020-10-07 11:00:00,8.69,8.74,8.67,8.74,79389
2020-10-07 10:45:00,8.7,8.745,8.68,8.69,75473
2020-10-07 10:30:00,8.635,8.72,8.605,8.69,112343
2020-10-07 10:15:00,8.69,8.69,8.59,8.635,214856
2020-10-07 10:00:00,8.74,8.78,8.69,8.695,100953
2020-10-07 09:45:00,8.71,8.83,8.68,8.74,189730
2020-10-07 09:30:00,8.72,8.72,8.72,8.72,200
2020-10-07 09:15:00,8.672,8.672,8.672,8.672,768
2020-10-06 16:15:00,8.67,8.67,8.67,8.67,55303
2020-10-06 16:00:00,8.77,8.77,8.65,8.67,764289
2020-10-06 15:45:00,8.72,8.835,8.715,8.765,283530
2020-10-06 15:30:00,8.68,8.73,8.65,8.72,342771
2020-10-06 15:15:00,8.73,8.73,8.62,8.68,287690
2020-10-06 15:00:00,8.946,8.96,8.67,8.73,298742
2020-10-06 14:45:00,8.94,8.97,8.89,8.945,263918
2020-10-06 14:30:00,8.95,8.96,8.9,8.935,105235
2020-10-06 14:15:00,8.92,8.955,8.92,8.945,88058
2020-10-06 14:00:00,8.95,8.95,8.895,8.915,108008
2020-10-06 13:45:00,8.97,8.98,8.94,8.945,170552
2020-10-06 13:30:00,8.96,8.99,8.95,8.965,121201
2020-10-06 13:15:00,8.985,9.01,8.96,8.965,93533
2020-10-06 13:00:00,8.91,8.985,8.905,8.98,75882
2020-10-06 12:45:00,8.955,8.97,8.9,8.905,120748
2020-10-06 12:30:00,8.99,8.995,8.95,8.955,74069
2020-10-06 12:15:00,9.03,9.05,8.95,9.0,128028
2020-10-06 12:00:00,9.09,9.095,9.03,9.03,130897
2020-10-06 11:45:00,9.0,9.12,8.995,9.095,120546
2020-10-06 11:30:00,9.04,9.04,8.975,8.995,238681
2020-10-06 11:15:00,9.005,9.07,8.985,9.035,64220
2020-10-06 11:00:00,8.985,9.04,8.975,9.0,137661
2020-10-06 10:45:00,9.11,9.14,8.98,8.99,200435
2020-10-06 10:30:00,8.995,9.115,8.995,9.11,103924
2020-10-06 10:15:00,9.04,9.08,8.98,8.995,161321
2020-10-06 10:00:00,9.255,9.255,9.03,9.04,126023
2020-10-06 09:45:00,9.17,9.3,9.1,9.25,285925
2020-10-06 09:30:00,9.07,9.07,9.07,9.07,250
2020-10-06 09:15:00,9.144,9.144,9.144,9.144,100
2020-10-06 08:45:00,9.1,9.1,9.07,9.07,3920
2020-10-06 08:30:00,9.15,9.16,9.15,9.16,971
2020-10-05 16:15:00,8.96,8.96,8.96,8.96,16653
2020-10-05 16:00:00,8.955,8.98,8.93,8.95,516224
2020-10-05 15:45:00,8.965,8.99,8.95,8.9531,161066
2020-10-05 15:30:00,8.975,8.985,8.94,8.965,100009
2020-10-05 15:15:00,8.978,8.99,8.95,8.97,80824
2020-10-05 15:00:00,8.985,8.99,8.96,8.98,68914
2020-10-05 14:45:00,8.955,8.995,8.95,8.99,74728
2020-10-05 14:30:00,8.945,8.96,8.92,8.955,71744
2020-10-05 14:15:00,8.955,8.97,8.94,8.94,52047
2020-10-05 14:00:00,8.975,9.0,8.955,8.96,88605
2020-10-05 13:45:00,8.98,9.025,8.97,8.97,161209
2020-10-05 13:30:00,8.91,8.99,8.905,8.985,92601
2020-10-05 13:15:00,8.89,8.92,8.87,8.91,104852
2020-10-05 13:00:00,8.935,8.94,8.88,8.885,89333
2020-10-05 12:45:00,8.88,8.945,8.88,8.935,60967
2020-10-05 12:30:00,8.89,8.8973,8.865,8.8849,47603
2020-10-05 12:15:00,8.895,8.915,8.87,8.885,55790
2020-10-05 12:00:00,8.9101,8.935,8.89,8.895,68628
2020-10-05 11:45:00,8.88,8.93,8.86,8.9141,79053
2020-10-05 11:30:00,8.9,8.925,8.875,8.875,93046
2020-10-05 11:15:00,8.9,8.95,8.885,8.895,137392
2020-10-05 11:00:00,8.9,8.93,8.89,8.9,150395
2020-10-05 10:45:00,8.87,8.9,8.835,8.9,107582
2020-10-05 10:30:00,8.91,8.9399,8.86,8.865,85657
2020-10-05 10:15:00,8.98,9.02,8.88,8.9,148141
2020-10-05 10:00:00,9.0,9.05,8.92,8.97,167153
2020-10-05 09:45:00,8.89,9.07,8.875,9.0,418569
2020-10-05 09:30:00,8.84,8.92,8.76,8.76,6724
2020-10-05 09:00:00,8.947000000000001,8.947000000000001,8.84,8.84,600
2020-10-05 08:15:00,8.88,8.88,8.88,8.88,1093
2020-10-05 08:00:00,8.82,8.89,8.82,8.89,650
2020-10-05 07:15:00,8.85,8.85,8.85,8.85,1400
2020-10-02 17:15:00,8.69,8.69,8.69,8.69,632
2020-10-02 16:15:00,8.7,8.7,8.7,8.7,42027
2020-10-02 16:00:00,8.7,8.705,8.64,8.7,885961
2020-10-02 15:45:00,8.745,8.745,8.69,8.705,280586
2020-10-02 15:30:00,8.715,8.75,8.7,8.745,204003
2020-10-02 15:15:00,8.748,8.76,8.71,8.715,213744
2020-10-02 15:00:00,8.745,8.75,8.72,8.75,97631
2020-10-02 14:45:00,8.715,8.75,8.695,8.74,81371
2020-10-02 14:30:00,8.75,8.75,8.71,8.715,76706
2020-10-02 14:15:00,8.705,8.75,8.695,8.7415,129148
2020-10-02 14:00:00,8.7,8.72,8.67,8.705,107854
2020-10-02 13:45:00,8.77,8.785,8.69,8.695,111313
2020-10-02 13:30:00,8.78,8.805,8.73,8.765,164039
2020-10-02 13:15:00,8.83,8.85,8.77,8.77,112130
2020-10-02 13:00:00,8.875,8.88,8.795,8.825,110571
2020-10-02 12:45:00,8.795,8.895,8.795,8.875,93497
2020-10-02 12:30:00,8.85,8.89,8.78,8.795,132455
2020-10-02 12:15:00,8.74,8.88,8.705,8.85,148641
2020-10-02 12:00:00,8.76,8.8,8.715,8.74,158628
2020-10-02 11:45:00,8.73,8.82,8.72,8.755,155378
2020-10-02 11:30:00,8.61,8.73,8.595,8.73,107691
2020-10-02 11:15:00,8.48,8.63,8.455,8.6,195659
2020-10-02 11:00:00,8.47,8.5,8.43,8.49,178360
2020-10-02 10:45:00,8.54,8.58,8.45,8.475,160261
2020-10-02 10:30:00,8.58,8.58,8.5,8.5485,128820
2020-10-02 10:15:00,8.46,8.63,8.46,8.58,215370
2020-10-02 10:00:00,8.46,8.51,8.41,8.46,242508
2020-10-02 09:45:00,8.19,8.48,8.13,8.475,570224
2020-10-02 09:30:00,8.22,8.22,8.21,8.21,1411
2020-10-02 09:15:00,8.25,8.27,8.25,8.27,2152
2020-10-02 09:00:00,8.35,8.35,8.25,8.25,3923
2020-10-02 08:30:00,8.3,8.32,8.3,8.3,1800
2020-10-02 08:15:00,8.5,8.5,8.2736,8.3,1277
2020-10-02 07:15:00,8.5,8.5,8.5,8.5,553
2020-10-02 04:45:00,8.5,8.5,8.5,8.5,1600
2020-10-02 04:15:00,8.51,8.51,8.51,8.51,1700
2020-10-01 20:00:00,8.68,8.68,8.66,8.66,200
2020-10-01 18:30:00,8.66,8.66,8.66,8.66,1100
2020-10-01 18:15:00,8.66,8.66,8.66,8.66,8200
2020-10-01 16:15:00,8.66,8.84,8.66,8.84,62946
2020-10-01 16:00:00,8.61,8.66,8.59,8.65,890635
2020-10-01 15:45:00,8.55,8.645,8.55,8.61,387071
2020-10-01 15:30:00,8.57,8.57,8.52,8.544,229860
2020-10-01 15:15:00,8.6,8.61,8.56,8.56,163655
2020-10-01 15:00:00,8.66,8.66,8.59,8.6,131582
2020-10-01 14:45:00,8.69,8.695,8.64,8.665,187671
2020-10-01 14:30:00,8.64,8.695,8.64,8.685,137894
2020-10-01 14:15:00,8.73,8.74,8.64,8.645,221274
2020-10-01 14:00:00,8.835,8.84,8.72,8.73,284999
2020-10-01 13:45:00,8.835,8.85,8.81,8.835,194806
2020-10-01 13:30:00,8.7715,8.84,8.7715,8.835,213564
