time,open,high,low,close,volume
2020-10-09 19:15:00,138.04,138.04,138.04,138.04,163
2020-10-09 18:45:00,138.04,138.04,138.04,138.04,205
2020-10-09 17:30:00,138.04,138.04,138.04,138.04,150
2020-10-09 16:45:00,137.997,137.997,137.997,137.997,100
2020-10-09 16:15:00,137.87,137.87,137.78,137.81,3443
2020-10-09 16:00:00,137.3,138.12,137.25,137.84,142565
2020-10-09 15:45:00,137.3344,137.4522,137.16,137.36,35168
2020-10-09 15:30:00,137.22,137.295,137.11,137.295,61107
2020-10-09 15:15:00,137.12,137.22,136.885,137.22,21126
2020-10-09 15:00:00,137.28,137.32,137.04,137.16,50954
2020-10-09 14:45:00,137.22,137.35,137.075,137.295,17959
2020-10-09 14:30:00,137.27,137.42,137.13,137.1924,12967
2020-10-09 14:15:00,137.26,137.4,137.05,137.185,14217
2020-10-09 14:00:00,137.05,137.25,137.005,137.22,13142
2020-10-09 13:45:00,137.135,137.24,137.01,137.05,18641
2020-10-09 13:30:00,137.09,137.39,137.05,137.1148,13514
2020-10-09 13:15:00,136.855,137.43,136.855,137.135,15822
2020-10-09 13:00:00,136.99,137.1299,136.785,136.85,24504
2020-10-09 12:45:00,136.79,137.15,136.74,136.92,47074
2020-10-09 12:30:00,137.92,137.94,136.67,136.71,24726
2020-10-09 12:15:00,137.4,138.09,137.4,137.92,18807
2020-10-09 12:00:00,136.725,137.505,136.6,137.35,46133
2020-10-09 11:45:00,136.25,136.88,136.14,136.88,39018
2020-10-09 11:30:00,137.49,137.735,136.27,136.3,144003
2020-10-09 11:15:00,137.99,138.21,137.38,137.49,49811
2020-10-09 11:00:00,138.21,138.35,137.77,137.9,26835
2020-10-09 10:45:00,138.44,138.89600000000002,138.01,138.15,37088
2020-10-09 10:30:00,138.99,139.09,138.08,138.54,34353
2020-10-09 10:15:00,139.6,139.77,138.835,139.04,40817
2020-10-09 10:00:00,139.89,140.46,139.33,139.56,103555
2020-10-09 09:45:00,137.98,140.69,137.98,139.7575,150987
2020-10-09 09:30:00,136.3785,138.12,136.3785,138.12,2579
2020-10-09 08:00:00,137.2,137.2,137.2,137.2,600
2020-10-08 19:30:00,135.6,135.6,135.6,135.6,100
2020-10-08 17:45:00,136.7,136.7,136.7,136.7,150
2020-10-08 17:15:00,136.4501,136.4501,136.45,136.45,1100
2020-10-08 17:00:00,136.55,136.55,136.45,136.45,560
2020-10-08 16:45:00,136.5,136.5,136.5,136.5,208
2020-10-08 16:15:00,135.41,136.78,135.41,136.78,10034
2020-10-08 16:00:00,135.26,135.49,135.21,135.41,85081
2020-10-08 15:45:00,135.31,135.42,135.04,135.3,26790
2020-10-08 15:30:00,135.04,135.27,134.79,135.23,116279
2020-10-08 15:15:00,135.08,135.17,134.84,135.05,13110
2020-10-08 15:00:00,135.5643,135.67,135.09,135.1,22027
2020-10-08 14:45:00,135.44,135.56,135.35,135.55,29079
2020-10-08 14:30:00,135.37,135.5,135.29,135.37,14356
2020-10-08 14:15:00,135.27,135.71,135.23,135.34,27402
2020-10-08 14:00:00,135.095,135.53,135.075,135.22,10430
2020-10-08 13:45:00,134.91,135.26,134.85,135.02,91163
2020-10-08 13:30:00,134.98,135.0,134.8,134.96,11826
2020-10-08 13:15:00,135.25,135.28,134.88,134.91,17012
2020-10-08 13:00:00,135.26,135.4399,135.05,135.23,26162
2020-10-08 12:45:00,135.15,135.35,135.1,135.22,29054
2020-10-08 12:30:00,135.1,135.2103,134.97,135.13,20130
2020-10-08 12:15:00,134.95,135.14,134.8,135.14,29475
2020-10-08 12:00:00,134.865,134.9,134.6,134.8,22208
2020-10-08 11:45:00,134.8,135.06,134.3,134.92,17646
2020-10-08 11:30:00,135.11,135.17,134.62,134.62,17237
2020-10-08 11:15:00,134.72,135.13,134.72,135.06,20204
2020-10-08 11:00:00,135.0,135.04,134.35,134.635,25561
2020-10-08 10:45:00,135.285,135.56,134.78,135.0,52924
2020-10-08 10:30:00,136.315,136.605,135.0,135.35,31080
2020-10-08 10:15:00,136.56,136.9221,135.41,136.225,53688
2020-10-08 10:00:00,136.5324,137.115,136.21,136.6,78944
2020-10-08 09:45:00,136.1,137.34,136.045,136.39,151527
2020-10-08 09:30:00,136.1,136.1,136.1,136.1,200
2020-10-08 09:15:00,137.44,137.44,136.85,136.85,2495
2020-10-08 09:00:00,137.01,137.01,136.85,136.85,601
2020-10-08 08:45:00,136.85,138.1899,136.85,138.1899,977
2020-10-08 08:30:00,136.5,136.5,136.5,136.5,200
2020-10-08 08:15:00,136.0,136.5,136.0,136.5,1847
2020-10-08 08:00:00,135.86,135.86,135.86,135.86,111
2020-10-07 18:00:00,134.64,134.64,134.64,134.64,102
2020-10-07 16:15:00,134.64,134.64,134.64,134.64,14301
2020-10-07 16:00:00,134.48,134.95,134.37,134.65,129499
2020-10-07 15:45:00,134.28,134.49,134.24,134.46,31452
2020-10-07 15:30:00,134.41,134.46,134.2257,134.28,16572
2020-10-07 15:15:00,134.08,134.44,134.08,134.42,26922
2020-10-07 15:00:00,134.09,134.3175,134.05,134.05,12847
2020-10-07 14:45:00,134.07,134.16,133.84,134.16,12633
2020-10-07 14:30:00,134.22,134.4,134.13,134.18,16236
2020-10-07 14:15:00,134.69,134.88,134.29,134.31,17931
2020-10-07 14:00:00,134.885,135.13,134.59,134.66,28401
2020-10-07 13:45:00,134.83,134.95,134.645,134.9,26763
2020-10-07 13:30:00,134.53,134.93,134.48,134.83,12701
2020-10-07 13:15:00,134.43,134.6899,134.08,134.58,30684
2020-10-07 13:00:00,134.564,134.85,134.36,134.37,27097
2020-10-07 12:45:00,134.0508,134.64,133.9,134.57,19665
2020-10-07 12:30:00,134.07,134.39,133.63,133.845,101262
2020-10-07 12:15:00,133.87,134.16,133.87,134.1171,13800
2020-10-07 12:00:00,134.4,134.41,133.82,133.93,14944
2020-10-07 11:45:00,134.0,134.61,134.0,134.44,165221
2020-10-07 11:30:00,133.96,134.19,133.68,134.065,22300
2020-10-07 11:15:00,133.765,134.38,133.655,133.91,36090
2020-10-07 11:00:00,133.92,134.005,133.555,133.68,22539
2020-10-07 10:45:00,134.07,134.25,133.56,133.905,32177
2020-10-07 10:30:00,134.26,134.38,133.9,134.18,36271
2020-10-07 10:15:00,134.3,134.645,133.8,134.26,43514
2020-10-07 10:00:00,134.09,134.74,134.0,134.4,44302
2020-10-07 09:45:00,133.85,135.0,133.505,134.045,78611
2020-10-07 09:30:00,133.54,133.54,133.54,133.54,325
2020-10-07 09:15:00,131.1105,131.1105,131.1105,131.1105,337
2020-10-07 08:45:00,132.73,132.73,132.73,132.73,225
2020-10-07 08:30:00,133.68,133.68,133.68,133.68,151
2020-10-07 08:15:00,132.39,132.39,132.39,132.39,200
2020-10-07 08:00:00,132.5,132.5,132.5,132.5,100
2020-10-06 16:15:00,131.08,132.7881,131.08,131.08,26606
2020-10-06 16:00:00,131.84,131.85,130.4882,130.98,207329
2020-10-06 15:45:00,132.37,132.53,131.76,131.87,84575
2020-10-06 15:30:00,131.9761,132.6347,131.51,132.37,57776
2020-10-06 15:15:00,131.8,132.25,131.1801,131.94,49985
2020-10-06 15:00:00,134.41,134.86,131.5,132.025,122089
2020-10-06 14:45:00,134.0,134.5,133.8187,134.375,42050
2020-10-06 14:30:00,133.935,134.31,133.88,134.0,30103
2020-10-06 14:15:00,133.71,133.97,133.62,133.82,26344
2020-10-06 14:00:00,133.62,134.0,133.58,133.71,13036
2020-10-06 13:45:00,133.655,133.8,133.56,133.65,22984
2020-10-06 13:30:00,132.95,133.8787,132.935,133.655,78262
2020-10-06 13:15:00,132.615,132.92,132.34,132.91,22447
2020-10-06 13:00:00,132.835,133.0,132.5914,132.5914,25057
2020-10-06 12:45:00,133.28,133.3,132.74,132.74,29256
2020-10-06 12:30:00,133.13,133.28,132.88,133.278,21814
2020-10-06 12:15:00,132.285,133.14,131.26,133.14,84033
2020-10-06 12:00:00,133.86,133.92,132.11,132.2204,62320
2020-10-06 11:45:00,133.4648,134.02,133.39,133.78,23024
2020-10-06 11:30:00,134.62,134.68,132.88,133.42,53033
2020-10-06 11:15:00,134.727,134.975,134.5,134.58,22613
2020-10-06 11:00:00,134.4,134.785,134.28,134.785,30121
2020-10-06 10:45:00,134.925,135.06,134.25,134.31,44716
2020-10-06 10:30:00,135.13,135.46,134.63,134.93,43749
2020-10-06 10:15:00,134.38,135.425,134.35,135.225,57962
2020-10-06 10:00:00,134.73,134.73,134.01,134.425,36497
