time,open,high,low,close,volume
2020-01-13 19:15:00,87.59,87.59,87.59,87.59,100
2020-01-13 18:15:00,87.21,87.21,86.89,86.89,798
2020-01-13 18:00:00,87.0,87.0,87.0,87.0,300
2020-01-13 17:30:00,86.89,86.89,86.89,86.89,898
2020-01-13 16:45:00,86.89,86.89,86.89,86.89,1058
2020-01-13 16:15:00,86.89,86.89,86.89,86.89,325046
2020-01-13 16:00:00,87.11,87.1558,86.7,86.87,513665
2020-01-13 15:45:00,87.22,87.31,87.0,87.105,132518
2020-01-13 15:30:00,87.04,87.28,87.04,87.22,47119
2020-01-13 15:15:00,87.03,87.1,87.0,87.04,36753
2020-01-13 15:00:00,87.05,87.09,87.0,87.025,54740
2020-01-13 14:45:00,87.23,87.31,87.05,87.05,55044
2020-01-13 14:30:00,87.14,87.3,87.08,87.23,101216
2020-01-13 14:15:00,87.02,87.14,86.95,87.14,41014
2020-01-13 14:00:00,86.99,87.06,86.94,87.04,33421
2020-01-13 13:45:00,86.98,87.03,86.97,86.985,34539
2020-01-13 13:30:00,86.9,87.03,86.88,86.99,48969
2020-01-13 13:15:00,87.12,87.12,86.87,86.9,33062
2020-01-13 13:00:00,87.16,87.2,87.1,87.12,22813
2020-01-13 12:45:00,87.2,87.28,87.13,87.16,65059
2020-01-13 12:30:00,87.05,87.2,87.01,87.19,31476
2020-01-13 12:15:00,86.93,87.05,86.92,87.05,36155
2020-01-13 12:00:00,87.01,87.03,86.85,86.94,39487
2020-01-13 11:45:00,87.0787,87.0787,86.92,87.01,28929
2020-01-13 11:30:00,86.88,87.12,86.73,87.04,176395
2020-01-13 11:15:00,87.23,87.23,86.83,86.86,84942
2020-01-13 11:00:00,87.26,87.37,87.205,87.23,27942
2020-01-13 10:45:00,87.48,87.53,87.23,87.27,50020
2020-01-13 10:30:00,87.19,87.47,87.19,87.46,50329
2020-01-13 10:15:00,87.35,87.355,87.14,87.15,43155
2020-01-13 10:00:00,87.205,87.56,87.205,87.37,61482
2020-01-13 09:45:00,87.31,87.67,87.08,87.19,89392
2020-01-13 09:15:00,87.6,87.6,87.6,87.6,350
2020-01-13 08:00:00,87.7,87.7,87.7,87.7,100
2020-01-13 07:15:00,87.6,87.6,87.6,87.6,500
2020-01-10 16:45:00,87.31,87.31,87.31,87.31,3824
2020-01-10 16:15:00,87.31,87.31,87.31,87.31,121098
2020-01-10 16:00:00,87.32,87.43,87.22,87.31,206607
2020-01-10 15:45:00,87.54,87.54,87.21,87.31,109842
2020-01-10 15:30:00,87.41,87.54,87.315,87.54,72313
2020-01-10 15:15:00,87.49,87.53,87.3856,87.41,41414
2020-01-10 15:00:00,87.43,87.565,87.42,87.5,34708
2020-01-10 14:45:00,87.45,87.47,87.39,87.44,27526
2020-01-10 14:30:00,87.41,87.54,87.41,87.44,37281
2020-01-10 14:15:00,87.61,87.63,87.42,87.42,41885
2020-01-10 14:00:00,87.61,87.69,87.54,87.61200000000001,46071
2020-01-10 13:45:00,87.41,87.63,87.38,87.63,37404
2020-01-10 13:30:00,87.46,87.55,87.43,87.44,31139
2020-01-10 13:15:00,87.39,87.535,87.37,87.46,30380
2020-01-10 13:00:00,87.4,87.5,87.34899999999999,87.39,20770
2020-01-10 12:45:00,87.33,87.45,87.309,87.4,22558
2020-01-10 12:30:00,87.16,87.325,87.11,87.325,35106
2020-01-10 12:15:00,87.22,87.28,87.05,87.18,36226
2020-01-10 12:00:00,87.11,87.27,86.97,87.2,99245
2020-01-10 11:45:00,87.38,87.4,87.06,87.12,51153
2020-01-10 11:30:00,87.49,87.52,87.34,87.39,35655
2020-01-10 11:15:00,87.425,87.64,87.425,87.52,63872
2020-01-10 11:00:00,87.54,87.54,87.05,87.4111,129726
2020-01-10 10:45:00,87.24,87.54,87.19,87.54,47731
2020-01-10 10:30:00,87.2,87.48,87.19,87.22,56464
2020-01-10 10:15:00,87.2,87.3099,87.07,87.21,70980
2020-01-10 10:00:00,87.34,87.5,87.0604,87.2,108353
2020-01-10 09:45:00,88.04,88.26,87.36,87.36,126472
2020-01-10 09:30:00,88.04,88.04,88.04,88.04,100
2020-01-10 08:15:00,87.75,87.75,87.75,87.75,500
2020-01-09 16:45:00,87.95,88.0381,87.95,87.95,86894
2020-01-09 16:15:00,87.95,87.95,87.95,87.95,28215
2020-01-09 16:00:00,87.84,88.05,87.84,87.955,301596
2020-01-09 15:45:00,87.955,87.98,87.84,87.845,90384
2020-01-09 15:30:00,87.87,87.96,87.84,87.95,62391
