time,open,high,low,close,volume
2020-11-06 16:30:00,215.02,215.02,215.02,215.02,241
2020-11-06 16:15:00,215.02,215.02,215.02,215.02,5872
2020-11-06 16:00:00,215.7,216.07,214.61,215.15,91615
2020-11-06 15:45:00,214.92,215.73,214.82,215.655,37551
2020-11-06 15:30:00,214.995,214.995,214.36,214.925,20276
2020-11-06 15:15:00,214.25,215.16,214.18,214.995,28604
2020-11-06 15:00:00,213.26,214.55,213.26,214.49,30787
2020-11-06 14:45:00,212.83,213.35,212.78,213.305,13017
2020-11-06 14:30:00,212.845,213.025,212.5401,212.775,15018
2020-11-06 14:15:00,213.15,213.23,212.81,212.89,11415
2020-11-06 14:00:00,213.13,213.68,212.98,213.225,12599
2020-11-06 13:45:00,212.83,213.22,212.8,213.22,14163
2020-11-06 13:30:00,212.6404,213.44,212.63,212.72,12995
2020-11-06 13:15:00,212.76,212.855,212.53,212.73,5541
2020-11-06 13:00:00,212.4,212.7,211.74,212.6,17283
2020-11-06 12:45:00,213.0,213.01,212.285,212.415,9966
2020-11-06 12:30:00,212.77,213.22,212.52,213.0,13407
2020-11-06 12:15:00,212.6745,213.22,212.55,213.005,19256
2020-11-06 12:00:00,212.725,213.12,212.5,212.75,10582
2020-11-06 11:45:00,212.425,212.86,211.435,212.73,16972
2020-11-06 11:30:00,213.39,213.44,212.16,212.22,10781
2020-11-06 11:15:00,213.225,214.4,213.225,213.615,10142
2020-11-06 11:00:00,214.245,214.505,212.752,213.21,21467
2020-11-06 10:45:00,212.44,214.3,212.1801,214.3,20210
2020-11-06 10:30:00,211.01,213.17,210.6,212.46,28454
2020-11-06 10:15:00,210.71,211.2,210.01,210.8,44257
2020-11-06 10:00:00,212.02,213.1399,210.27,210.8,32472
2020-11-06 09:45:00,214.99,214.99,210.72,212.19,52460
2020-11-06 09:30:00,214.25,214.25,214.25,214.25,1177
2020-11-06 09:00:00,214.26,214.26,214.25,214.25,1203
2020-11-06 08:15:00,214.0,214.0,214.0,214.0,216
2020-11-05 19:15:00,214.0,214.0,214.0,214.0,187
2020-11-05 19:00:00,214.0,214.0,213.48,213.48,517
2020-11-05 18:45:00,214.14,214.14,214.14,214.14,317
2020-11-05 16:30:00,214.26,214.26,214.26,214.26,340
2020-11-05 16:15:00,214.26,214.26,214.26,214.26,13623
2020-11-05 16:00:00,213.94,214.71,213.75,214.38,117663
2020-11-05 15:45:00,214.47,214.64,213.77,214.0,49196
2020-11-05 15:30:00,214.59,214.75,214.255,214.4864,31326
2020-11-05 15:15:00,215.8,215.81,214.19,214.61,30791
2020-11-05 15:00:00,215.77,215.93,215.4103,215.93,25183
2020-11-05 14:45:00,215.39,215.78,214.86,215.7,18080
2020-11-05 14:30:00,216.1,216.28,215.32,215.42,16171
2020-11-05 14:15:00,215.83,216.34,215.53,216.06,21848
2020-11-05 14:00:00,216.3,216.3223,215.29,215.84,19729
2020-11-05 13:45:00,215.27,216.36,215.01,216.3,22062
2020-11-05 13:30:00,214.225,215.29,213.7,215.07,52566
2020-11-05 13:15:00,215.0,215.355,214.2,214.26,54964
2020-11-05 13:00:00,214.41,214.78,214.08,214.64,17406
2020-11-05 12:45:00,215.155,215.33,214.1,214.46,19693
2020-11-05 12:30:00,216.3399,216.3399,214.68,215.0786,21672
2020-11-05 12:15:00,217.12,217.48,216.22,216.22,14833
2020-11-05 12:00:00,217.14,218.05,217.02,217.22,13879
2020-11-05 11:45:00,217.3,217.54,216.91,217.1,19615
2020-11-05 11:30:00,217.87,218.41,217.26,217.26,14374
2020-11-05 11:15:00,218.16,218.16,217.25,217.86,17761
2020-11-05 11:00:00,219.13,219.135,217.5,218.085,32180
2020-11-05 10:45:00,218.49,219.25,218.12599999999998,219.075,16363
2020-11-05 10:30:00,219.4864,219.4864,218.34,218.72,17481
2020-11-05 10:15:00,220.47,220.47,218.19,219.14,36346
2020-11-05 10:00:00,220.405,221.2867,219.72,220.255,34955
2020-11-05 09:45:00,221.23,222.5,219.46,220.37,35862
2020-11-05 09:15:00,222.2,222.2,222.2,222.2,120
2020-11-04 19:30:00,220.19,222.0,220.19,220.47,2527
2020-11-04 19:15:00,216.01,216.01,216.01,216.01,150
2020-11-04 16:45:00,217.32,217.32,217.32,217.32,663
2020-11-04 16:15:00,217.32,217.32,217.32,217.32,8848
2020-11-04 16:00:00,218.14,218.54,216.5,217.27,112297
2020-11-04 15:45:00,219.3,219.41,217.87,218.11,32474
2020-11-04 15:30:00,219.83,220.04,219.27,219.285,35527
2020-11-04 15:15:00,220.9,221.02,219.72,219.805,37919
2020-11-04 15:00:00,220.29,221.28,220.29,221.0411,18478
2020-11-04 14:45:00,221.55,221.55,220.26,220.35,31957
2020-11-04 14:30:00,221.38,221.86,221.0,221.68,21962
2020-11-04 14:15:00,221.65,222.09,221.21,221.41,23469
2020-11-04 14:00:00,220.9835,222.06,220.9835,221.68,15321
2020-11-04 13:45:00,221.49,222.04,220.82,221.1,24096
2020-11-04 13:30:00,221.65,222.04,221.52,221.52,14794
2020-11-04 13:15:00,221.99,222.45,221.57,221.57,26645
2020-11-04 13:00:00,222.27,222.5099,221.64,221.9283,13406
2020-11-04 12:45:00,222.04,222.33,221.59,222.18,12957
2020-11-04 12:30:00,222.15,222.43,221.43,222.0,15154
2020-11-04 12:15:00,220.81,222.28,220.775,222.165,17963
2020-11-04 12:00:00,219.87,221.0,219.39,220.89,12620
2020-11-04 11:45:00,220.18,220.235,219.826,219.975,9068
2020-11-04 11:30:00,219.05,220.0,218.715,219.95,10845
2020-11-04 11:15:00,219.02,219.19,218.6073,219.02,9749
2020-11-04 11:00:00,217.01,219.37,217.0,219.02,12210
2020-11-04 10:45:00,218.855,219.1,216.79,217.0,41387
2020-11-04 10:30:00,219.985,220.77,218.66,218.69,12100
2020-11-04 10:15:00,218.9,220.265,218.9,219.745,21270
2020-11-04 10:00:00,218.68,219.94,218.125,218.55,23420
2020-11-04 09:45:00,217.52,219.6,217.3,219.1587,43073
2020-11-04 07:45:00,221.89,221.9,221.89,221.9,486
2020-11-04 07:15:00,217.01,217.01,217.01,217.01,160
2020-11-03 18:15:00,217.53,217.53,217.53,217.53,1010
2020-11-03 16:15:00,217.53,217.53,217.53,217.53,7139
2020-11-03 16:00:00,218.47,218.81,217.33,217.39,138984
2020-11-03 15:45:00,217.16,218.77,217.06,218.37,51964
2020-11-03 15:30:00,216.98,217.445,216.82,217.035,33034
2020-11-03 15:15:00,217.87,217.95,216.77,216.98,27659
2020-11-03 15:00:00,218.475,218.55,217.76,217.95,26584
2020-11-03 14:45:00,217.505,218.66,217.485,218.59,21690
2020-11-03 14:30:00,217.76,217.76,217.11,217.47,21362
2020-11-03 14:15:00,216.7,217.965,216.61,217.71,18933
2020-11-03 14:00:00,218.02,218.02,216.43,216.69,15638
2020-11-03 13:45:00,217.96,218.31,217.47,218.0,18621
2020-11-03 13:30:00,218.31,218.36,217.75,217.88,16211
2020-11-03 13:15:00,218.08,218.52,217.99,218.187,11096
2020-11-03 13:00:00,218.36,218.64,217.89,218.015,14625
2020-11-03 12:45:00,218.0,218.85,217.94,218.34,18057
2020-11-03 12:30:00,218.125,218.29,217.87,218.01,11157
2020-11-03 12:15:00,217.91,218.44,217.77,218.105,12208
2020-11-03 12:00:00,217.95,218.26,217.69,217.81,22029
2020-11-03 11:45:00,218.105,218.41,217.69,218.1,18192
2020-11-03 11:30:00,218.4701,218.55,217.75,218.015,13577
2020-11-03 11:15:00,218.45,218.705,217.69,218.5522,21196
2020-11-03 11:00:00,217.9,218.73,217.69,218.295,37583
2020-11-03 10:45:00,217.5801,218.32,216.92,217.86,58095
2020-11-03 10:30:00,217.1,218.5,217.04,217.87,41302
2020-11-03 10:15:00,217.815,218.5,215.85,216.975,51823
