time,open,high,low,close,volume,label
2018-11-19 07:15:00,66.51,66.51,66.51,66.51,100,S
2018-11-19 09:15:00,66.47,66.47,66.47,66.47,285,S
2018-11-19 09:45:00,66.32,66.852,66.02,66.23,19758,S
2018-11-19 10:00:00,66.23,66.23,65.2222,65.62,42249,H
2018-11-19 10:15:00,65.62,65.62,65.0,65.265,46373,H
2018-11-19 10:30:00,65.27,65.36,64.31,64.47,46074,H
2018-11-19 10:45:00,64.425,64.8,64.27,64.75,37316,H
2018-11-19 11:00:00,64.76,65.07,64.42,64.94,53503,H
2018-11-19 11:15:00,64.92,65.36,64.44,64.55,71259,H
2018-11-19 11:30:00,64.545,64.84,64.34,64.555,35620,H
2018-11-19 11:45:00,64.55,64.72,64.33,64.56,27609,H
2018-11-19 12:00:00,64.56,64.57,63.85,64.13,50097,B
2018-11-19 12:15:00,64.14,64.232,63.53,63.78,42896,B
2018-11-19 12:30:00,63.8,64.06,63.57,63.835,39748,B
2018-11-19 12:45:00,63.78,64.35,63.77,64.2,25121,B
2018-11-19 13:00:00,64.18,64.43,64.03,64.43,23430,H
2018-11-19 13:15:00,64.37,64.37,63.89,64.07,19063,B
2018-11-19 13:30:00,64.03,64.11,63.85,63.985,22870,B
2018-11-19 13:45:00,63.94,64.12,63.61,64.12,22876,B
2018-11-19 14:00:00,64.139,64.31,63.67,64.0601,28174,B
2018-11-19 14:15:00,64.05,64.16,63.64,63.68,33714,B
2018-11-19 14:30:00,63.625,64.18,63.58,64.1,45037,B
2018-11-19 14:45:00,64.045,64.34,63.82,64.04,30540,H
2018-11-19 15:00:00,64.02,64.3,63.92,64.25,54649,H
2018-11-19 15:15:00,64.26,64.55,64.075,64.47,36625,H
2018-11-19 15:30:00,64.44,64.49,64.13,64.22,36503,H
2018-11-19 15:45:00,64.24,64.28,63.85,63.925,56004,B
2018-11-19 16:00:00,63.9,64.28,63.85,64.26,194249,H
2018-11-19 16:15:00,64.29,64.29,64.25,64.25,116115,H
2018-11-19 18:30:00,64.25,64.25,64.25,64.25,12348,H
2018-11-20 08:45:00,64.14,64.25,64.14,64.25,672,B
2018-11-20 09:15:00,64.01,64.2,64.01,64.2,661,B
2018-11-20 09:45:00,63.51,64.6,63.14,63.76,52648,B
2018-11-20 10:00:00,63.51,63.6,62.6425,62.93,57072,B
2018-11-20 10:15:00,62.88,63.6,62.88,63.395,49269,B
2018-11-20 10:30:00,63.365,64.15,63.265,64.075,39436,B
2018-11-20 10:45:00,64.03,64.25,63.78,64.22,25065,H
2018-11-20 11:00:00,64.1,64.62,63.89,64.58,39793,B
2018-11-20 11:15:00,64.56,64.78,63.87,63.97,23462,B
2018-11-20 11:30:00,63.9,63.905,63.19,63.41,67678,B
2018-11-20 11:45:00,63.46,64.25,63.46,64.16,23989,B
2018-11-20 12:00:00,64.19,64.41,63.99,64.34,22891,H
2018-11-20 12:15:00,64.43,64.62,64.25,64.28,19395,H
2018-11-20 12:30:00,64.2,64.595,64.14,64.51,21384,H
2018-11-20 12:45:00,64.52,64.64,64.38,64.38,14418,H
2018-11-20 13:00:00,64.34,64.47,64.265,64.28,14219,H
2018-11-20 13:15:00,64.31,64.375,64.07,64.19,38532,H
2018-11-20 13:30:00,64.23,64.28,63.84,63.99,45366,B
2018-11-20 13:45:00,63.99,64.25,63.89,64.25,37807,B
2018-11-20 14:00:00,64.25,64.3,63.57,63.5815,28944,B
2018-11-20 14:15:00,63.57,63.91,63.28,63.83,53257,B
2018-11-20 14:30:00,63.835,63.87,63.5301,63.59,41755,B
2018-11-20 14:45:00,63.62,63.91,63.4,63.41,27670,B
2018-11-20 15:00:00,63.49,63.77,63.45,63.735,29628,B
2018-11-20 15:15:00,63.81,63.9,63.35,63.5,35247,B
2018-11-20 15:30:00,63.46,63.83,63.41,63.72,39409,B
2018-11-20 15:45:00,63.72,63.83,63.54,63.56,40767,B
2018-11-20 16:00:00,63.53,63.7,63.345,63.57,114789,B
2018-11-20 16:15:00,63.59,63.59,63.59,63.59,141259,B
2018-11-21 09:30:00,63.59,63.59,63.59,63.59,408,B
2018-11-21 09:45:00,63.94,64.555,63.2583,63.28,33048,B
2018-11-21 10:00:00,63.35,64.05,63.32,63.82,43682,B
2018-11-21 10:15:00,63.81,63.94,63.1,63.1,47422,B
2018-11-21 10:30:00,63.17,63.88,63.17,63.84,20415,B
2018-11-21 10:45:00,63.88,63.94,63.46,63.48,32389,H
2018-11-21 11:00:00,63.42,63.78,63.35,63.67,58725,H
2018-11-21 11:15:00,63.62,64.35,63.56,64.35,34441,H
